Offset Frequency (Hz),AM Noise (dBc/Hz)
+1.30701047961e+004,-1.33358998316e+002
+1.33054941314e+004,-1.33437629102e+002
+1.35451227700e+004,-1.33193838621e+002
+1.37890670608e+004,-1.33621924436e+002
+1.40374047276e+004,-1.33620417082e+002
+1.42902148939e+004,-1.33708869457e+002
+1.45475781085e+004,-1.34723474411e+002
+1.48095763705e+004,-1.35558672378e+002
+1.50762931560e+004,-1.35779127448e+002
+1.53478134445e+004,-1.36756477591e+002
+1.56242237458e+004,-1.37402227970e+002
+1.59056121278e+004,-1.37628892672e+002
+1.61920682446e+004,-1.37908702536e+002
+1.64836833648e+004,-1.37837223613e+002
+1.67805504007e+004,-1.38069648122e+002
+1.70827639381e+004,-1.37859663276e+002
+1.73904202661e+004,-1.37866858321e+002
+1.77036174080e+004,-1.38142632283e+002
+1.80224551525e+004,-1.38610458427e+002
+1.83470350855e+004,-1.38353192259e+002
+1.86774606222e+004,-1.38839170934e+002
+1.90138370407e+004,-1.38438698751e+002
+1.93562715148e+004,-1.38315076355e+002
+1.97048731486e+004,-1.38839513049e+002
+2.00597530110e+004,-1.39010406518e+002
+2.04210241715e+004,-1.39268683008e+002
+2.07888017356e+004,-1.39207507622e+002
+2.11632028822e+004,-1.39147110579e+002
+2.15443469003e+004,-1.39115574457e+002
+2.19323552273e+004,-1.39174346861e+002
+2.23273514878e+004,-1.39645525727e+002
+2.27294615326e+004,-1.39717211576e+002
+2.31388134792e+004,-1.39419873749e+002
+2.35555377526e+004,-1.39603846745e+002
+2.39797671264e+004,-1.39988227812e+002
+2.44116367658e+004,-1.39855262118e+002
+2.48512842698e+004,-1.39941398741e+002
+2.52988497160e+004,-1.39916766874e+002
+2.57544757045e+004,-1.39412309706e+002
+2.62183074038e+004,-1.40090110025e+002
+2.66904925965e+004,-1.40216249035e+002
+2.71711817270e+004,-1.40192789440e+002
+2.76605279492e+004,-1.40712056559e+002
+2.81586871751e+004,-1.40526398632e+002
+2.86658181246e+004,-1.40580112626e+002
+2.91820823764e+004,-1.40636569161e+002
+2.97076444190e+004,-1.40581515477e+002
+3.02426717031e+004,-1.40694827642e+002
+3.07873346955e+004,-1.41119372714e+002
+3.13418069329e+004,-1.40653740257e+002
+3.19062650773e+004,-1.37788399025e+002
+3.24808889724e+004,-1.37677762927e+002
+3.30658617009e+004,-1.40413618848e+002
+3.36613696427e+004,-1.41446546598e+002
+3.42676025343e+004,-1.41543558257e+002
+3.48847535295e+004,-1.41279926463e+002
+3.55130192606e+004,-1.41869111210e+002
+3.61525999011e+004,-1.41213421063e+002
+3.68036992298e+004,-1.41664153902e+002
+3.74665246955e+004,-1.41829557326e+002
+3.81412874828e+004,-1.41648429299e+002
+3.88282025801e+004,-1.41335322939e+002
+3.95274888473e+004,-1.39176746589e+002
+4.02393690862e+004,-1.37983978721e+002
+4.09640701111e+004,-1.40415159522e+002
+4.17018228212e+004,-1.41983743821e+002
+4.24528622739e+004,-1.41942565931e+002
+4.32174277604e+004,-1.17496558002e+002
+4.39957628810e+004,-1.25295669317e+002
+4.47881156235e+004,-1.42031917993e+002
+4.55947384417e+004,-1.41013299932e+002
+4.64158883361e+004,-1.39015248521e+002
+4.72518269359e+004,-1.39535717230e+002
+4.81028205818e+004,-1.42161916518e+002
+4.89691404115e+004,-1.42537107825e+002
+4.98510624459e+004,-1.42366232556e+002
+5.07488676766e+004,-1.42514130054e+002
+5.16628421561e+004,-1.42799795240e+002
+5.25932770886e+004,-1.42587569024e+002
+5.35404689227e+004,-1.42448846972e+002
+5.45047194461e+004,-1.38662388331e+002
+5.54863358815e+004,-1.42156946454e+002
+5.64856309846e+004,-1.43237600374e+002
+5.75029231439e+004,-1.43157546980e+002
+5.85385364818e+004,-1.43312420856e+002
+5.95928009583e+004,-1.43468985622e+002
+6.06660524757e+004,-1.43323923130e+002
+6.17586329859e+004,-1.43860247895e+002
+6.28708905992e+004,-1.43873778214e+002
+6.40031796953e+004,-1.43988505247e+002
+6.51558610364e+004,-1.44143403294e+002
+6.63293018816e+004,-1.44132572993e+002
+6.75238761044e+004,-1.44006065575e+002
+6.87399643118e+004,-1.44455239196e+002
+6.99779539652e+004,-1.44880386766e+002
+7.12382395042e+004,-1.44687126243e+002
+7.25212224722e+004,-1.44775973822e+002
+7.38273116442e+004,-1.44970733264e+002
+7.51569231572e+004,-1.40541326660e+002
+7.65104806427e+004,-1.43782135296e+002
+7.78884153618e+004,-1.45359417377e+002
+7.92911663423e+004,-1.45464978186e+002
+8.07191805189e+004,-1.45499014943e+002
+8.21729128755e+004,-1.44595562156e+002
+8.36528265901e+004,-1.41126997254e+002
+8.51593931825e+004,-1.45577473724e+002
+8.66930926644e+004,-1.20243941820e+002
+8.82544136923e+004,-1.45769300118e+002
+8.98438537235e+004,-1.41347276654e+002
+9.14619191741e+004,-1.45358072390e+002
+9.31091255809e+004,-1.46546639122e+002
+9.47859977652e+004,-1.46421397941e+002
+9.64930700003e+004,-1.45912972883e+002
+9.82308861817e+004,-1.41370974434e+002
+1.00000000000e+005,-1.45540474749e+002
+1.01800975118e+005,-1.47693550280e+002
+1.03634385350e+005,-1.48440014910e+002
+1.05500814844e+005,-1.48497109395e+002
+1.07400858268e+005,-1.48406097821e+002
+1.09335121002e+005,-1.48515107718e+002
+1.11304219327e+005,-1.48520230742e+002
+1.13308780622e+005,-1.48595972544e+002
+1.15349443568e+005,-1.48517346729e+002
+1.17426858345e+005,-1.45046082512e+002
+1.19541686846e+005,-1.45507117530e+002
+1.21694602882e+005,-1.48238792785e+002
+1.23886292399e+005,-1.47623490820e+002
+1.26117453700e+005,-1.45075619564e+002
+1.28388797661e+005,-1.31630782721e+002
+1.30701047961e+005,-1.26080848287e+002
+1.33054941314e+005,-1.39810407889e+002
+1.35451227700e+005,-1.46754029245e+002
+1.37890670608e+005,-1.48766672524e+002
+1.40374047276e+005,-1.46072206407e+002
+1.42902148939e+005,-1.46552635509e+002
