Offset Frequency (Hz),AM Noise (dBc/Hz)
+1.00000000000e+003,-1.24320509156e+002
+1.01800975118e+003,-1.24320509156e+002
+1.03634385350e+003,-1.24437514249e+002
+1.05500814844e+003,-1.24437514249e+002
+1.07400858268e+003,-1.24460690265e+002
+1.09335121002e+003,-1.24537615875e+002
+1.11304219327e+003,-1.24537615875e+002
+1.13308780622e+003,-1.24709032467e+002
+1.15349443568e+003,-1.24555657493e+002
+1.17426858345e+003,-1.24555657493e+002
+1.19541686846e+003,-1.24474045579e+002
+1.21694602882e+003,-1.25003492833e+002
+1.23886292399e+003,-1.25003492833e+002
+1.26117453700e+003,-1.25442111435e+002
+1.28388797661e+003,-1.25602761462e+002
+1.30701047961e+003,-1.25606772194e+002
+1.33054941314e+003,-1.25501136043e+002
+1.35451227700e+003,-1.25501136043e+002
+1.37890670608e+003,-1.25833598223e+002
+1.40374047276e+003,-1.25941879259e+002
+1.42902148939e+003,-1.25880640475e+002
+1.45475781085e+003,-1.25380828803e+002
+1.48095763705e+003,-1.25455375846e+002
+1.50762931560e+003,-1.26001903193e+002
+1.53478134445e+003,-1.26001903193e+002
+1.56242237458e+003,-1.26108739263e+002
+1.59056121278e+003,-1.26356258089e+002
+1.61920682446e+003,-1.26508393881e+002
+1.64836833648e+003,-1.26426616763e+002
+1.67805504007e+003,-1.26354411030e+002
+1.70827639381e+003,-1.26355797739e+002
+1.73904202661e+003,-1.26800041589e+002
+1.77036174080e+003,-1.26670200163e+002
+1.80224551525e+003,-1.27137356045e+002
+1.83470350855e+003,-1.26947302382e+002
+1.86774606222e+003,-1.27065219724e+002
+1.90138370407e+003,-1.27194574667e+002
+1.93562715148e+003,-1.27209039898e+002
+1.97048731486e+003,-1.27285354180e+002
+2.00597530110e+003,-1.27060429250e+002
+2.04210241715e+003,-1.27187497326e+002
+2.07888017356e+003,-1.27288038421e+002
+2.11632028822e+003,-1.27495038351e+002
+2.15443469003e+003,-1.27466190063e+002
+2.19323552273e+003,-1.27597238943e+002
+2.23273514878e+003,-1.27614143419e+002
+2.27294615326e+003,-1.27996309365e+002
+2.31388134792e+003,-1.27777909258e+002
+2.35555377526e+003,-1.27591737740e+002
+2.39797671264e+003,-1.27874200920e+002
+2.44116367658e+003,-1.27823223869e+002
+2.48512842698e+003,-1.27651220508e+002
+2.52988497160e+003,-1.27520128011e+002
+2.57544757045e+003,-1.27644830518e+002
+2.62183074038e+003,-1.26989128181e+002
+2.66904925965e+003,-1.27477673334e+002
+2.71711817270e+003,-1.27144475637e+002
+2.76605279492e+003,-1.27639144613e+002
+2.81586871751e+003,-1.27926678808e+002
+2.86658181246e+003,-1.27633548075e+002
+2.91820823764e+003,-1.27026802294e+002
+2.97076444190e+003,-1.27623532882e+002
+3.02426717031e+003,-1.27541450459e+002
+3.07873346955e+003,-1.27332975601e+002
+3.13418069329e+003,-1.27554492383e+002
+3.19062650773e+003,-1.27494594885e+002
+3.24808889724e+003,-1.27280038937e+002
+3.30658617009e+003,-1.27559251467e+002
+3.36613696427e+003,-1.27965702340e+002
+3.42676025343e+003,-1.28263332865e+002
+3.48847535295e+003,-1.28085604975e+002
+3.55130192606e+003,-1.27651229462e+002
+3.61525999011e+003,-1.28215267142e+002
+3.68036992298e+003,-1.29126760269e+002
+3.74665246955e+003,-1.28753807058e+002
+3.81412874828e+003,-1.29324506683e+002
+3.88282025801e+003,-1.29117276481e+002
+3.95274888473e+003,-1.29399209491e+002
+4.02393690862e+003,-1.29733884605e+002
+4.09640701111e+003,-1.29884995052e+002
+4.17018228212e+003,-1.30088785601e+002
+4.24528622739e+003,-1.29811711117e+002
+4.32174277604e+003,-1.30390923761e+002
+4.39957628810e+003,-1.30174748086e+002
+4.47881156235e+003,-1.30597750094e+002
+4.55947384417e+003,-1.30516674020e+002
+4.64158883361e+003,-1.31179307174e+002
+4.72518269359e+003,-1.30707339479e+002
+4.81028205818e+003,-1.30585601748e+002
+4.89691404115e+003,-1.30578102135e+002
+4.98510624459e+003,-1.31377421112e+002
+5.07488676766e+003,-1.30874939709e+002
+5.16628421561e+003,-1.31694191360e+002
+5.25932770886e+003,-1.31532743426e+002
+5.35404689227e+003,-1.31737261218e+002
+5.45047194461e+003,-1.31194017060e+002
+5.54863358815e+003,-1.31383395345e+002
+5.64856309846e+003,-1.31939550002e+002
+5.75029231439e+003,-1.32034446090e+002
+5.85385364818e+003,-1.31549809215e+002
+5.95928009583e+003,-1.31602590996e+002
+6.06660524757e+003,-1.31678723627e+002
+6.17586329859e+003,-1.32408085450e+002
+6.28708905992e+003,-1.31676705986e+002
+6.40031796953e+003,-1.31524269691e+002
+6.51558610364e+003,-1.31943529828e+002
+6.63293018816e+003,-1.31500144507e+002
+6.75238761044e+003,-1.32507158116e+002
+6.87399643118e+003,-1.32087666107e+002
+6.99779539652e+003,-1.32106599981e+002
+7.12382395042e+003,-1.31256117238e+002
+7.25212224722e+003,-1.31658654097e+002
+7.38273116442e+003,-1.33098446203e+002
+7.51569231572e+003,-1.33031510594e+002
+7.65104806427e+003,-1.32743277369e+002
+7.78884153618e+003,-1.31564783790e+002
+7.92911663423e+003,-1.32167173011e+002
+8.07191805189e+003,-1.32049263521e+002
+8.21729128755e+003,-1.31326189883e+002
+8.36528265901e+003,-1.32289940606e+002
+8.51593931825e+003,-1.32657107666e+002
+8.66930926644e+003,-1.33072828116e+002
+8.82544136923e+003,-1.32429569879e+002
+8.98438537235e+003,-1.32845318241e+002
+9.14619191741e+003,-1.32288659356e+002
+9.31091255809e+003,-1.32291719586e+002
+9.47859977652e+003,-1.32625186235e+002
+9.64930700003e+003,-1.32262835508e+002
+9.82308861817e+003,-1.32684856316e+002
+1.00000000000e+004,-1.33244411177e+002
+1.01800975118e+004,-1.33033583481e+002
+1.03634385350e+004,-1.33446480118e+002
+1.05500814844e+004,-1.32622955468e+002
