Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.30701047961e+004,-1.11483778727e+002
+1.33054941314e+004,-1.11212412641e+002
+1.35451227700e+004,-1.10700602405e+002
+1.37890670608e+004,-1.11756937065e+002
+1.40374047276e+004,-1.12238720481e+002
+1.42902148939e+004,-1.12640488346e+002
+1.45475781085e+004,-1.14151678718e+002
+1.48095763705e+004,-1.15484280232e+002
+1.50762931560e+004,-1.16939365219e+002
+1.53478134445e+004,-1.20044766851e+002
+1.56242237458e+004,-1.24320869587e+002
+1.59056121278e+004,-1.25943817657e+002
+1.61920682446e+004,-1.26629682777e+002
+1.64836833648e+004,-1.27912807441e+002
+1.67805504007e+004,-1.28542081725e+002
+1.70827639381e+004,-1.29104848710e+002
+1.73904202661e+004,-1.29474612348e+002
+1.77036174080e+004,-1.29325807009e+002
+1.80224551525e+004,-1.29126372045e+002
+1.83470350855e+004,-1.29184398260e+002
+1.86774606222e+004,-1.29344440936e+002
+1.90138370407e+004,-1.29367329835e+002
+1.93562715148e+004,-1.29738793822e+002
+1.97048731486e+004,-1.29775273190e+002
+2.00597530110e+004,-1.29689975681e+002
+2.04210241715e+004,-1.30064541386e+002
+2.07888017356e+004,-1.30062693569e+002
+2.11632028822e+004,-1.30234921949e+002
+2.15443469003e+004,-1.30479663539e+002
+2.19323552273e+004,-1.30301105127e+002
+2.23273514878e+004,-1.30341819740e+002
+2.27294615326e+004,-1.30268035229e+002
+2.31388134792e+004,-1.30288811213e+002
+2.35555377526e+004,-1.30504434156e+002
+2.39797671264e+004,-1.30568830001e+002
+2.44116367658e+004,-1.30743131502e+002
+2.48512842698e+004,-1.30654955974e+002
+2.52988497160e+004,-1.30700941225e+002
+2.57544757045e+004,-1.30741416051e+002
+2.62183074038e+004,-1.30879749408e+002
+2.66904925965e+004,-1.30847430888e+002
+2.71711817270e+004,-1.30941615885e+002
+2.76605279492e+004,-1.31004785657e+002
+2.81586871751e+004,-1.31197457534e+002
+2.86658181246e+004,-1.31238631276e+002
+2.91820823764e+004,-1.30978269676e+002
+2.97076444190e+004,-1.30922179744e+002
+3.02426717031e+004,-1.31232830889e+002
+3.07873346955e+004,-1.31309758089e+002
+3.13418069329e+004,-1.31209064507e+002
+3.19062650773e+004,-1.31354801015e+002
+3.24808889724e+004,-1.31539654245e+002
+3.30658617009e+004,-1.31467803093e+002
+3.36613696427e+004,-1.31572916150e+002
+3.42676025343e+004,-1.31553068637e+002
+3.48847535295e+004,-1.31690736893e+002
+3.55130192606e+004,-1.31572693563e+002
+3.61525999011e+004,-1.31663114368e+002
+3.68036992298e+004,-1.31667502519e+002
+3.74665246955e+004,-1.31788559796e+002
+3.81412874828e+004,-1.31921846971e+002
+3.88282025801e+004,-1.31800167301e+002
+3.95274888473e+004,-1.31700693450e+002
+4.02393690862e+004,-1.31777123610e+002
+4.09640701111e+004,-1.31693271266e+002
+4.17018228212e+004,-1.31838575911e+002
+4.24528622739e+004,-1.31869855596e+002
+4.32174277604e+004,-1.09485028795e+002
+4.39957628810e+004,-1.17235453735e+002
+4.47881156235e+004,-1.31733344085e+002
+4.55947384417e+004,-1.31825450542e+002
+4.64158883361e+004,-1.31840534527e+002
+4.72518269359e+004,-1.31592129242e+002
+4.81028205818e+004,-1.31704185921e+002
+4.89691404115e+004,-1.31874270514e+002
+4.98510624459e+004,-1.31929694795e+002
+5.07488676766e+004,-1.31874675046e+002
+5.16628421561e+004,-1.31852542693e+002
+5.25932770886e+004,-1.31899874919e+002
+5.35404689227e+004,-1.31997695284e+002
+5.45047194461e+004,-1.31772186743e+002
+5.54863358815e+004,-1.32018279777e+002
+5.64856309846e+004,-1.32334850904e+002
+5.75029231439e+004,-1.32426014829e+002
+5.85385364818e+004,-1.32444087376e+002
+5.95928009583e+004,-1.32691304240e+002
+6.06660524757e+004,-1.32881784961e+002
+6.17586329859e+004,-1.33074448895e+002
+6.28708905992e+004,-1.33254599050e+002
+6.40031796953e+004,-1.33473083367e+002
+6.51558610364e+004,-1.33718268209e+002
+6.63293018816e+004,-1.33887463881e+002
+6.75238761044e+004,-1.33914743738e+002
+6.87399643118e+004,-1.34154623593e+002
+6.99779539652e+004,-1.34616285807e+002
+7.12382395042e+004,-1.34777328793e+002
+7.25212224722e+004,-1.34992635439e+002
+7.38273116442e+004,-1.35250053474e+002
+7.51569231572e+004,-1.35517030280e+002
+7.65104806427e+004,-1.35727020848e+002
+7.78884153618e+004,-1.36028535529e+002
+7.92911663423e+004,-1.36199810695e+002
+8.07191805189e+004,-1.36605149981e+002
+8.21729128755e+004,-1.36841690426e+002
+8.36528265901e+004,-1.36892212557e+002
+8.51593931825e+004,-1.37321883243e+002
+8.66930926644e+004,-1.13482038058e+002
+8.82544136923e+004,-1.38079440420e+002
+8.98438537235e+004,-1.38558160113e+002
+9.14619191741e+004,-1.38962270063e+002
+9.31091255809e+004,-1.39153517308e+002
+9.47859977652e+004,-1.39581471383e+002
+9.64930700003e+004,-1.39836459631e+002
+9.82308861817e+004,-1.39747686845e+002
+1.00000000000e+005,-1.40127044576e+002
+1.01800975118e+005,-1.40474635559e+002
+1.03634385350e+005,-1.40853831160e+002
+1.05500814844e+005,-1.41201468235e+002
+1.07400858268e+005,-1.41501513358e+002
+1.09335121002e+005,-1.41705013665e+002
+1.11304219327e+005,-1.41908749842e+002
+1.13308780622e+005,-1.42149447367e+002
+1.15349443568e+005,-1.42655504330e+002
+1.17426858345e+005,-1.43027758636e+002
+1.19541686846e+005,-1.43268474774e+002
+1.21694602882e+005,-1.43514293488e+002
+1.23886292399e+005,-1.43829973030e+002
+1.26117453700e+005,-1.42494917127e+002
+1.28388797661e+005,-1.27564431707e+002
+1.30701047961e+005,-1.22059017199e+002
+1.33054941314e+005,-1.35763831068e+002
+1.35451227700e+005,-1.45617613625e+002
+1.37890670608e+005,-1.45858868406e+002
+1.40374047276e+005,-1.46404580876e+002
+1.42902148939e+005,-1.46806010264e+002
+1.45475781085e+005,-1.47143815560e+002
+1.48095763705e+005,-1.47849002281e+002
+1.50762931560e+005,-1.48339762927e+002
+1.53478134445e+005,-1.48797171674e+002
+1.56242237458e+005,-1.48900450168e+002
+1.59056121278e+005,-1.49476656175e+002
+1.61920682446e+005,-1.49661716858e+002
+1.64836833648e+005,-1.49864008671e+002
+1.67805504007e+005,-1.49877569274e+002
+1.70827639381e+005,-1.31240465841e+002
+1.73904202661e+005,-1.24228923991e+002
+1.77036174080e+005,-1.31942865092e+002
+1.80224551525e+005,-1.51047900099e+002
+1.83470350855e+005,-1.51094541015e+002
+1.86774606222e+005,-1.50824660307e+002
+1.90138370407e+005,-1.51204654865e+002
+1.93562715148e+005,-1.51633564421e+002
+1.97048731486e+005,-1.51780759841e+002
+2.00597530110e+005,-1.52028932867e+002
+2.04210241715e+005,-1.51980290473e+002
+2.07888017356e+005,-1.52032752320e+002
+2.11632028822e+005,-1.52367156786e+002
+2.15443469003e+005,-1.31537784255e+002
+2.19323552273e+005,-1.31000397588e+002
+2.23273514878e+005,-1.52632389784e+002
+2.27294615326e+005,-1.52765224131e+002
+2.31388134792e+005,-1.52936455250e+002
+2.35555377526e+005,-1.53229059831e+002
+2.39797671264e+005,-1.52923092319e+002
+2.44116367658e+005,-1.53263062084e+002
+2.48512842698e+005,-1.53144985805e+002
+2.52988497160e+005,-1.53418701205e+002
+2.57544757045e+005,-1.32958219204e+002
+2.62183074038e+005,-1.31780770212e+002
+2.66904925965e+005,-1.54334776088e+002
+2.71711817270e+005,-1.53832403327e+002
+2.76605279492e+005,-1.53997187771e+002
+2.81586871751e+005,-1.52812613487e+002
+2.86658181246e+005,-1.54943905102e+002
+2.91820823764e+005,-1.54877803233e+002
+2.97076444190e+005,-1.54400311168e+002
+3.02426717031e+005,-1.30537132987e+002
+3.07873346955e+005,-1.35769585111e+002
+3.13418069329e+005,-1.55271473547e+002
+3.19062650773e+005,-1.55569245299e+002
+3.24808889724e+005,-1.55302231975e+002
+3.30658617009e+005,-1.55646118050e+002
+3.36613696427e+005,-1.56396803078e+002
+3.42676025343e+005,-1.36637214542e+002
+3.48847535295e+005,-1.31762073667e+002
+3.55130192606e+005,-1.56018567527e+002
+3.61525999011e+005,-1.56617112779e+002
+3.68036992298e+005,-1.56273071410e+002
+3.74665246955e+005,-1.57082290427e+002
+3.81412874828e+005,-1.56382616315e+002
+3.88282025801e+005,-1.31687550058e+002
+3.95274888473e+005,-1.41774431750e+002
+4.02393690862e+005,-1.57030033203e+002
+4.09640701111e+005,-1.57836244116e+002
+4.17018228212e+005,-1.57647536009e+002
+4.24528622739e+005,-1.57962637880e+002
+4.32174277604e+005,-1.30973050189e+002
+4.39957628810e+005,-1.45158394200e+002
+4.47881156235e+005,-1.58038325395e+002
+4.55947384417e+005,-1.58731571586e+002
+4.64158883361e+005,-1.58502364764e+002
+4.72518269359e+005,-1.38197323461e+002
+4.81028205818e+005,-1.31506047310e+002
+4.89691404115e+005,-1.59213958591e+002
+4.98510624459e+005,-1.58778993998e+002
+5.07488676766e+005,-1.59368944735e+002
+5.16628421561e+005,-1.30611331474e+002
+5.25932770886e+005,-1.37682573322e+002
+5.35404689227e+005,-1.59615688677e+002
+5.45047194461e+005,-1.60008274923e+002
+5.54863358815e+005,-1.58261236292e+002
+5.64856309846e+005,-1.29256446075e+002
+5.75029231439e+005,-1.60483111585e+002
+5.85385364818e+005,-1.60343096279e+002
+5.95928009583e+005,-1.60736946645e+002
+6.06660524757e+005,-1.29902608964e+002
+6.17586329859e+005,-1.60993076946e+002
+6.28708905992e+005,-1.61334420874e+002
+6.40031796953e+005,-1.61193784275e+002
+6.51558610364e+005,-1.31594681706e+002
+6.63293018816e+005,-1.61644213302e+002
+6.75238761044e+005,-1.61963566159e+002
+6.87399643118e+005,-1.37577682428e+002
+6.99779539652e+005,-1.34220464881e+002
+7.12382395042e+005,-1.61824063012e+002
+7.25212224722e+005,-1.62333603434e+002
+7.38273116442e+005,-1.32981911844e+002
+7.51569231572e+005,-1.62731571228e+002
+7.65104806427e+005,-1.62884070484e+002
+7.78884153618e+005,-1.33583492910e+002
+7.92911663423e+005,-1.38955654399e+002
+8.07191805189e+005,-1.40164895748e+002
+8.21729128755e+005,-1.35857338281e+002
+8.36528265901e+005,-1.40027474872e+002
+8.51593931825e+005,-1.38748708130e+002
+8.66930926644e+005,-1.35703356653e+002
+8.82544136923e+005,-1.40885443039e+002
+8.98438537235e+005,-1.37305350459e+002
+9.14619191741e+005,-1.35608718393e+002
+9.31091255809e+005,-1.41262951178e+002
+9.47859977652e+005,-1.36053477070e+002
+9.64930700003e+005,-1.35728319137e+002
+9.82308861817e+005,-1.41076941798e+002
+1.00000000000e+006,-1.35735985266e+002
