Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.04583863023e+002
+1.01800975118e+003,-1.04662821448e+002
+1.03634385350e+003,-1.06674839048e+002
+1.05500814844e+003,-1.06751966868e+002
+1.07400858268e+003,-1.06994813893e+002
+1.09335121002e+003,-1.08156874932e+002
+1.11304219327e+003,-1.08231946223e+002
+1.13308780622e+003,-1.08325185692e+002
+1.15349443568e+003,-1.08438874189e+002
+1.17426858345e+003,-1.08501207819e+002
+1.19541686846e+003,-1.06862861191e+002
+1.21694602882e+003,-1.04428421317e+002
+1.23886292399e+003,-1.04489215124e+002
+1.26117453700e+003,-1.04167906741e+002
+1.28388797661e+003,-1.04045403452e+002
+1.30701047961e+003,-1.05052881211e+002
+1.33054941314e+003,-1.06065191444e+002
+1.35451227700e+003,-1.06089759605e+002
+1.37890670608e+003,-1.07812593878e+002
+1.40374047276e+003,-1.08632683658e+002
+1.42902148939e+003,-1.07431160303e+002
+1.45475781085e+003,-1.06887897801e+002
+1.48095763705e+003,-1.06804818715e+002
+1.50762931560e+003,-1.07302393725e+002
+1.53478134445e+003,-1.07325659045e+002
+1.56242237458e+003,-1.08604606696e+002
+1.59056121278e+003,-1.08763952724e+002
+1.61920682446e+003,-1.07334119711e+002
+1.64836833648e+003,-1.05273172232e+002
+1.67805504007e+003,-1.04476056761e+002
+1.70827639381e+003,-1.04131574498e+002
+1.73904202661e+003,-1.05760595247e+002
+1.77036174080e+003,-1.06923706731e+002
+1.80224551525e+003,-1.07223616038e+002
+1.83470350855e+003,-1.05886610592e+002
+1.86774606222e+003,-1.05696549746e+002
+1.90138370407e+003,-1.07069643647e+002
+1.93562715148e+003,-1.06609692023e+002
+1.97048731486e+003,-1.06555459462e+002
+2.00597530110e+003,-1.05156119618e+002
+2.04210241715e+003,-1.05674097069e+002
+2.07888017356e+003,-1.06507619056e+002
+2.11632028822e+003,-1.06616341437e+002
+2.15443469003e+003,-1.05665248142e+002
+2.19323552273e+003,-1.04955131483e+002
+2.23273514878e+003,-1.04945151993e+002
+2.27294615326e+003,-1.06689602822e+002
+2.31388134792e+003,-1.05607737333e+002
+2.35555377526e+003,-1.04067736487e+002
+2.39797671264e+003,-1.04926864720e+002
+2.44116367658e+003,-1.06260585832e+002
+2.48512842698e+003,-1.05580840637e+002
+2.52988497160e+003,-1.04596415250e+002
+2.57544757045e+003,-1.03647310691e+002
+2.62183074038e+003,-1.04285728305e+002
+2.66904925965e+003,-1.05112120559e+002
+2.71711817270e+003,-1.04893680958e+002
+2.76605279492e+003,-1.05904302710e+002
+2.81586871751e+003,-1.06317631363e+002
+2.86658181246e+003,-1.05863589328e+002
+2.91820823764e+003,-1.05309689487e+002
+2.97076444190e+003,-1.04842454470e+002
+3.02426717031e+003,-1.04598548202e+002
+3.07873346955e+003,-1.05749367345e+002
+3.13418069329e+003,-1.06574106248e+002
+3.19062650773e+003,-1.08222642429e+002
+3.24808889724e+003,-1.07812367211e+002
+3.30658617009e+003,-1.08415429242e+002
+3.36613696427e+003,-1.08896543763e+002
+3.42676025343e+003,-1.05699785905e+002
+3.48847535295e+003,-1.08374239588e+002
+3.55130192606e+003,-1.07119279562e+002
+3.61525999011e+003,-1.08125572615e+002
+3.68036992298e+003,-1.06700269862e+002
+3.74665246955e+003,-1.08350923964e+002
+3.81412874828e+003,-1.08207832704e+002
+3.88282025801e+003,-1.11552485859e+002
+3.95274888473e+003,-1.08345843683e+002
+4.02393690862e+003,-1.08816470871e+002
+4.09640701111e+003,-1.08865916563e+002
+4.17018228212e+003,-1.06288368164e+002
+4.24528622739e+003,-1.09328070919e+002
+4.32174277604e+003,-1.08983538363e+002
+4.39957628810e+003,-1.08759995062e+002
+4.47881156235e+003,-1.07749856977e+002
+4.55947384417e+003,-1.07041248178e+002
+4.64158883361e+003,-1.09377788111e+002
+4.72518269359e+003,-1.09590756484e+002
+4.81028205818e+003,-1.07096966178e+002
+4.89691404115e+003,-1.06597612820e+002
+4.98510624459e+003,-1.09025382655e+002
+5.07488676766e+003,-1.07502547754e+002
+5.16628421561e+003,-1.08557522069e+002
+5.25932770886e+003,-1.07756636306e+002
+5.35404689227e+003,-1.09819825763e+002
+5.45047194461e+003,-1.08042664911e+002
+5.54863358815e+003,-1.08979083407e+002
+5.64856309846e+003,-1.09514187804e+002
+5.75029231439e+003,-1.10541655702e+002
+5.85385364818e+003,-1.09052983631e+002
+5.95928009583e+003,-1.08360673131e+002
+6.06660524757e+003,-1.09140110844e+002
+6.17586329859e+003,-1.11436912687e+002
+6.28708905992e+003,-1.09780282553e+002
+6.40031796953e+003,-1.07226635848e+002
+6.51558610364e+003,-1.09261834529e+002
+6.63293018816e+003,-1.06535719808e+002
+6.75238761044e+003,-1.10890538161e+002
+6.87399643118e+003,-1.08886826545e+002
+6.99779539652e+003,-1.08745856792e+002
+7.12382395042e+003,-1.07022965544e+002
+7.25212224722e+003,-1.07695403075e+002
+7.38273116442e+003,-1.10276551123e+002
+7.51569231572e+003,-1.11403844623e+002
+7.65104806427e+003,-1.08737447876e+002
+7.78884153618e+003,-1.07577563574e+002
+7.92911663423e+003,-1.07801574635e+002
+8.07191805189e+003,-1.07785889088e+002
+8.21729128755e+003,-1.07492257316e+002
+8.36528265901e+003,-1.09982148825e+002
+8.51593931825e+003,-1.09004965060e+002
+8.66930926644e+003,-1.10774398796e+002
+8.82544136923e+003,-1.09670063935e+002
+8.98438537235e+003,-1.10615659727e+002
+9.14619191741e+003,-1.08779133943e+002
+9.31091255809e+003,-1.09176158425e+002
+9.47859977652e+003,-1.10431893436e+002
+9.64930700003e+003,-1.09358174636e+002
+9.82308861817e+003,-1.10121407564e+002
+1.00000000000e+004,-1.11373857188e+002
+1.01800975118e+004,-1.12105212782e+002
+1.03634385350e+004,-1.11779738851e+002
+1.05500814844e+004,-1.10855195824e+002
+1.07400858268e+004,-1.09880812704e+002
+1.09335121002e+004,-1.12191845551e+002
+1.11304219327e+004,-1.10568587588e+002
+1.13308780622e+004,-1.10375925406e+002
+1.15349443568e+004,-1.08838902102e+002
+1.17426858345e+004,-1.12071054277e+002
+1.19541686846e+004,-1.11448359424e+002
+1.21694602882e+004,-1.11577263616e+002
+1.23886292399e+004,-1.11303641001e+002
+1.26117453700e+004,-1.10894352914e+002
+1.28388797661e+004,-1.10811031029e+002
+1.30701047961e+004,-1.10859364083e+002
+1.33054941314e+004,-1.10690527551e+002
+1.35451227700e+004,-1.10312512904e+002
+1.37890670608e+004,-1.11344059008e+002
+1.40374047276e+004,-1.11614788409e+002
+1.42902148939e+004,-1.12026805818e+002
+1.45475781085e+004,-1.13533059638e+002
+1.48095763705e+004,-1.14590635283e+002
+1.50762931560e+004,-1.15652247916e+002
+1.53478134445e+004,-1.17812943509e+002
+1.56242237458e+004,-1.19925611170e+002
+1.59056121278e+004,-1.20630551516e+002
+1.61920682446e+004,-1.20971769677e+002
+1.64836833648e+004,-1.21452034341e+002
+1.67805504007e+004,-1.21596740929e+002
+1.70827639381e+004,-1.21743172825e+002
+1.73904202661e+004,-1.21797156738e+002
+1.77036174080e+004,-1.21859315704e+002
+1.80224551525e+004,-1.22169974845e+002
+1.83470350855e+004,-1.22179474837e+002
+1.86774606222e+004,-1.22401074476e+002
+1.90138370407e+004,-1.22367588403e+002
+1.93562715148e+004,-1.22524671187e+002
+1.97048731486e+004,-1.22916515291e+002
+2.00597530110e+004,-1.23078367490e+002
+2.04210241715e+004,-1.23171810920e+002
+2.07888017356e+004,-1.23195386133e+002
+2.11632028822e+004,-1.23470748546e+002
+2.15443469003e+004,-1.23629912968e+002
+2.19323552273e+004,-1.23693078176e+002
+2.23273514878e+004,-1.23765913273e+002
+2.27294615326e+004,-1.23919000471e+002
+2.31388134792e+004,-1.23940288483e+002
+2.35555377526e+004,-1.24204654314e+002
+2.39797671264e+004,-1.24307047053e+002
+2.44116367658e+004,-1.24504032917e+002
+2.48512842698e+004,-1.24692093968e+002
+2.52988497160e+004,-1.24906850118e+002
+2.57544757045e+004,-1.24966069763e+002
+2.62183074038e+004,-1.25094399174e+002
+2.66904925965e+004,-1.25220002935e+002
+2.71711817270e+004,-1.25346090797e+002
+2.76605279492e+004,-1.25526427269e+002
+2.81586871751e+004,-1.25698977970e+002
+2.86658181246e+004,-1.25896484091e+002
+2.91820823764e+004,-1.25967225481e+002
+2.97076444190e+004,-1.26010874019e+002
+3.02426717031e+004,-1.26116253027e+002
+3.07873346955e+004,-1.26440819067e+002
+3.13418069329e+004,-1.26491882522e+002
+3.19062650773e+004,-1.26519416323e+002
+3.24808889724e+004,-1.26693015877e+002
+3.30658617009e+004,-1.26579563816e+002
+3.36613696427e+004,-1.26764714551e+002
+3.42676025343e+004,-1.26914616358e+002
+3.48847535295e+004,-1.26920234719e+002
+3.55130192606e+004,-1.27213533119e+002
+3.61525999011e+004,-1.27300019825e+002
+3.68036992298e+004,-1.27377632562e+002
+3.74665246955e+004,-1.27459460091e+002
+3.81412874828e+004,-1.27505411624e+002
+3.88282025801e+004,-1.27618333993e+002
+3.95274888473e+004,-1.27810427998e+002
+4.02393690862e+004,-1.27779431673e+002
+4.09640701111e+004,-1.27655249855e+002
+4.17018228212e+004,-1.27719941195e+002
+4.24528622739e+004,-1.27657801018e+002
+4.32174277604e+004,-1.14033129193e+002
+4.39957628810e+004,-1.21008612907e+002
+4.47881156235e+004,-1.27737632654e+002
+4.55947384417e+004,-1.27556702314e+002
+4.64158883361e+004,-1.28103374090e+002
+4.72518269359e+004,-1.28540801611e+002
+4.81028205818e+004,-1.28545271368e+002
+4.89691404115e+004,-1.28743588834e+002
+4.98510624459e+004,-1.28889401612e+002
+5.07488676766e+004,-1.28980607059e+002
+5.16628421561e+004,-1.29328626602e+002
+5.25932770886e+004,-1.29421770608e+002
+5.35404689227e+004,-1.29533104289e+002
+5.45047194461e+004,-1.29538155401e+002
+5.54863358815e+004,-1.29855471221e+002
+5.64856309846e+004,-1.29966993626e+002
+5.75029231439e+004,-1.30173257077e+002
+5.85385364818e+004,-1.30269670019e+002
+5.95928009583e+004,-1.30275469009e+002
+6.06660524757e+004,-1.30505249262e+002
+6.17586329859e+004,-1.30571075404e+002
+6.28708905992e+004,-1.30788622862e+002
+6.40031796953e+004,-1.31064550718e+002
+6.51558610364e+004,-1.31293816725e+002
+6.63293018816e+004,-1.31544276060e+002
+6.75238761044e+004,-1.31632921541e+002
+6.87399643118e+004,-1.32120103805e+002
+6.99779539652e+004,-1.32511102466e+002
+7.12382395042e+004,-1.32770340526e+002
+7.25212224722e+004,-1.32942984635e+002
+7.38273116442e+004,-1.33430967805e+002
+7.51569231572e+004,-1.33765979436e+002
+7.65104806427e+004,-1.34096830193e+002
+7.78884153618e+004,-1.34347151999e+002
+7.92911663423e+004,-1.34801778706e+002
+8.07191805189e+004,-1.35130830313e+002
+8.21729128755e+004,-1.35350989138e+002
+8.36528265901e+004,-1.35567967163e+002
+8.51593931825e+004,-1.35927483411e+002
+8.66930926644e+004,-1.16344791605e+002
+8.82544136923e+004,-1.36602531241e+002
+8.98438537235e+004,-1.36999756244e+002
+9.14619191741e+004,-1.37487822987e+002
+9.31091255809e+004,-1.37994709399e+002
+9.47859977652e+004,-1.38304582289e+002
+9.64930700003e+004,-1.38754048575e+002
+9.82308861817e+004,-1.38993354452e+002
+1.00000000000e+005,-1.39313462202e+002
+1.01800975118e+005,-1.39760326252e+002
+1.03634385350e+005,-1.40120917046e+002
+1.05500814844e+005,-1.40475355868e+002
+1.07400858268e+005,-1.40910961151e+002
+1.09335121002e+005,-1.41305257756e+002
+1.11304219327e+005,-1.41779902644e+002
+1.13308780622e+005,-1.42266651136e+002
+1.15349443568e+005,-1.42949094821e+002
+1.17426858345e+005,-1.43535285702e+002
+1.19541686846e+005,-1.43955647737e+002
+1.21694602882e+005,-1.44196009444e+002
+1.23886292399e+005,-1.44490911245e+002
+1.26117453700e+005,-1.43707249987e+002
+1.28388797661e+005,-1.30022611643e+002
+1.30701047961e+005,-1.24538159229e+002
+1.33054941314e+005,-1.38074150388e+002
+1.35451227700e+005,-1.46548235378e+002
+1.37890670608e+005,-1.46932284029e+002
+1.40374047276e+005,-1.47686742135e+002
+1.42902148939e+005,-1.47642836128e+002
+1.45475781085e+005,-1.48034861315e+002
+1.48095763705e+005,-1.48481646663e+002
+1.50762931560e+005,-1.48576903847e+002
+1.53478134445e+005,-1.49075338611e+002
+1.56242237458e+005,-1.49282200067e+002
+1.59056121278e+005,-1.49734324341e+002
+1.61920682446e+005,-1.49637435563e+002
+1.64836833648e+005,-1.50303234773e+002
+1.67805504007e+005,-1.50061725755e+002
+1.70827639381e+005,-1.32083435776e+002
+1.73904202661e+005,-1.25061257157e+002
+1.77036174080e+005,-1.32765530377e+002
+1.80224551525e+005,-1.51490572809e+002
+1.83470350855e+005,-1.51339155960e+002
+1.86774606222e+005,-1.51351825591e+002
+1.90138370407e+005,-1.51613993192e+002
+1.93562715148e+005,-1.51641409821e+002
+1.97048731486e+005,-1.51800516341e+002
+2.00597530110e+005,-1.52015181806e+002
+2.04210241715e+005,-1.51934520052e+002
+2.07888017356e+005,-1.51883591796e+002
+2.11632028822e+005,-1.52149106020e+002
+2.15443469003e+005,-1.31116953401e+002
+2.19323552273e+005,-1.30568643879e+002
+2.23273514878e+005,-1.52473820887e+002
+2.27294615326e+005,-1.52880516785e+002
+2.31388134792e+005,-1.52695418082e+002
+2.35555377526e+005,-1.52797315346e+002
+2.39797671264e+005,-1.52836137094e+002
+2.44116367658e+005,-1.53658588734e+002
+2.48512842698e+005,-1.53388521497e+002
+2.52988497160e+005,-1.53301872267e+002
+2.57544757045e+005,-1.31870914640e+002
+2.62183074038e+005,-1.30696201820e+002
+2.66904925965e+005,-1.54110934391e+002
+2.71711817270e+005,-1.53799121787e+002
+2.76605279492e+005,-1.54303103931e+002
+2.81586871751e+005,-1.53322033337e+002
+2.86658181246e+005,-1.54376376149e+002
+2.91820823764e+005,-1.54964102331e+002
+2.97076444190e+005,-1.54199505981e+002
+3.02426717031e+005,-1.29161102962e+002
+3.07873346955e+005,-1.34396001188e+002
+3.13418069329e+005,-1.55366388411e+002
+3.19062650773e+005,-1.55508820123e+002
+3.24808889724e+005,-1.55409775216e+002
+3.30658617009e+005,-1.55600294521e+002
+3.36613696427e+005,-1.56199080502e+002
+3.42676025343e+005,-1.35154516473e+002
+3.48847535295e+005,-1.30266732322e+002
+3.55130192606e+005,-1.55986289649e+002
+3.61525999011e+005,-1.56772911097e+002
+3.68036992298e+005,-1.56391174739e+002
+3.74665246955e+005,-1.56676657135e+002
+3.81412874828e+005,-1.56507240255e+002
+3.88282025801e+005,-1.30147372070e+002
+3.95274888473e+005,-1.40248915687e+002
+4.02393690862e+005,-1.56894976535e+002
+4.09640701111e+005,-1.57419960794e+002
+4.17018228212e+005,-1.57682563483e+002
+4.24528622739e+005,-1.57845101062e+002
+4.32174277604e+005,-1.29434271918e+002
+4.39957628810e+005,-1.43651176654e+002
+4.47881156235e+005,-1.58257807293e+002
+4.55947384417e+005,-1.58669846532e+002
+4.64158883361e+005,-1.58248866194e+002
+4.72518269359e+005,-1.36842981879e+002
+4.81028205818e+005,-1.30150356695e+002
+4.89691404115e+005,-1.59290331361e+002
+4.98510624459e+005,-1.58512687917e+002
+5.07488676766e+005,-1.59163848869e+002
+5.16628421561e+005,-1.29831466835e+002
+5.25932770886e+005,-1.36903252349e+002
+5.35404689227e+005,-1.59504107089e+002
+5.45047194461e+005,-1.59828974612e+002
+5.54863358815e+005,-1.58156149478e+002
+5.64856309846e+005,-1.29821757146e+002
+5.75029231439e+005,-1.60274824519e+002
+5.85385364818e+005,-1.60185354975e+002
+5.95928009583e+005,-1.60782885095e+002
+6.06660524757e+005,-1.31245833231e+002
+6.17586329859e+005,-1.60740066960e+002
+6.28708905992e+005,-1.61152762604e+002
+6.40031796953e+005,-1.60744613409e+002
+6.51558610364e+005,-1.31792764293e+002
+6.63293018816e+005,-1.61425237851e+002
+6.75238761044e+005,-1.61776158107e+002
+6.87399643118e+005,-1.36768962982e+002
+6.99779539652e+005,-1.33415205715e+002
+7.12382395042e+005,-1.61956052909e+002
+7.25212224722e+005,-1.62186586038e+002
+7.38273116442e+005,-1.31625037779e+002
+7.51569231572e+005,-1.62215115361e+002
+7.65104806427e+005,-1.62432577311e+002
+7.78884153618e+005,-1.32033995879e+002
+7.92911663423e+005,-1.37421820259e+002
+8.07191805189e+005,-1.38713594401e+002
+8.21729128755e+005,-1.34402420809e+002
+8.36528265901e+005,-1.38585603469e+002
+8.51593931825e+005,-1.37630522601e+002
+8.66930926644e+005,-1.34597408798e+002
+8.82544136923e+005,-1.39863992288e+002
+8.98438537235e+005,-1.36723234118e+002
+9.14619191741e+005,-1.35033213322e+002
+9.31091255809e+005,-1.40834031017e+002
+9.47859977652e+005,-1.35894042063e+002
+9.64930700003e+005,-1.35573237619e+002
+9.82308861817e+005,-1.40964147747e+002
+1.00000000000e+006,-1.35649662895e+002
