Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.09778819467e+002
+1.01800975118e+003,-1.09857777892e+002
+1.03634385350e+003,-1.11323439778e+002
+1.05500814844e+003,-1.11400567597e+002
+1.07400858268e+003,-1.11528537540e+002
+1.09335121002e+003,-1.12143549171e+002
+1.11304219327e+003,-1.12218620462e+002
+1.13308780622e+003,-1.12511636308e+002
+1.15349443568e+003,-1.12842503721e+002
+1.17426858345e+003,-1.12904837351e+002
+1.19541686846e+003,-1.11820122871e+002
+1.21694602882e+003,-1.09807659210e+002
+1.23886292399e+003,-1.09868453017e+002
+1.26117453700e+003,-1.09592239790e+002
+1.28388797661e+003,-1.09625671121e+002
+1.30701047961e+003,-1.10805153088e+002
+1.33054941314e+003,-1.11021865496e+002
+1.35451227700e+003,-1.11046433657e+002
+1.37890670608e+003,-1.11987159265e+002
+1.40374047276e+003,-1.12632988120e+002
+1.42902148939e+003,-1.12202189152e+002
+1.45475781085e+003,-1.11895528959e+002
+1.48095763705e+003,-1.11945556905e+002
+1.50762931560e+003,-1.11998496537e+002
+1.53478134445e+003,-1.12021761857e+002
+1.56242237458e+003,-1.13146126395e+002
+1.59056121278e+003,-1.13422260833e+002
+1.61920682446e+003,-1.12643929843e+002
+1.64836833648e+003,-1.11267984971e+002
+1.67805504007e+003,-1.10166208166e+002
+1.70827639381e+003,-1.09821975642e+002
+1.73904202661e+003,-1.11173370646e+002
+1.77036174080e+003,-1.11435349416e+002
+1.80224551525e+003,-1.11532244016e+002
+1.83470350855e+003,-1.10872763278e+002
+1.86774606222e+003,-1.10692093365e+002
+1.90138370407e+003,-1.11810249569e+002
+1.93562715148e+003,-1.11381286394e+002
+1.97048731486e+003,-1.10871312621e+002
+2.00597530110e+003,-1.09940239833e+002
+2.04210241715e+003,-1.09946125382e+002
+2.07888017356e+003,-1.11046705765e+002
+2.11632028822e+003,-1.11208329079e+002
+2.15443469003e+003,-1.10777904310e+002
+2.19323552273e+003,-1.10183644434e+002
+2.23273514878e+003,-1.10720185756e+002
+2.27294615326e+003,-1.11295417496e+002
+2.31388134792e+003,-1.10789549331e+002
+2.35555377526e+003,-1.09992646386e+002
+2.39797671264e+003,-1.10560743901e+002
+2.44116367658e+003,-1.11144194867e+002
+2.48512842698e+003,-1.10656758029e+002
+2.52988497160e+003,-1.09417294882e+002
+2.57544757045e+003,-1.09078607470e+002
+2.62183074038e+003,-1.08724418113e+002
+2.66904925965e+003,-1.09557243035e+002
+2.71711817270e+003,-1.09703311655e+002
+2.76605279492e+003,-1.10040120755e+002
+2.81586871751e+003,-1.10066858873e+002
+2.86658181246e+003,-1.09603756904e+002
+2.91820823764e+003,-1.09224078337e+002
+2.97076444190e+003,-1.08473347621e+002
+3.02426717031e+003,-1.08329050532e+002
+3.07873346955e+003,-1.09070514365e+002
+3.13418069329e+003,-1.09766178287e+002
+3.19062650773e+003,-1.09925091173e+002
