Offset Frequency (Hz),AM Noise (dBc/Hz)
+1.00000000000e+003,-1.24004810237e+002
+1.01800975118e+003,-1.24004810237e+002
+1.03634385350e+003,-1.24317714836e+002
+1.05500814844e+003,-1.24317714836e+002
+1.07400858268e+003,-1.24195604768e+002
+1.09335121002e+003,-1.24413158115e+002
+1.11304219327e+003,-1.24413158115e+002
+1.13308780622e+003,-1.24332316863e+002
+1.15349443568e+003,-1.24280056887e+002
+1.17426858345e+003,-1.24280056887e+002
+1.19541686846e+003,-1.24301175970e+002
+1.21694602882e+003,-1.24403075166e+002
+1.23886292399e+003,-1.24403075166e+002
+1.26117453700e+003,-1.24738259191e+002
+1.28388797661e+003,-1.25219210336e+002
+1.30701047961e+003,-1.25081757094e+002
+1.33054941314e+003,-1.25352095129e+002
+1.35451227700e+003,-1.25352095129e+002
+1.37890670608e+003,-1.25427306794e+002
+1.40374047276e+003,-1.25323743435e+002
+1.42902148939e+003,-1.24997300977e+002
+1.45475781085e+003,-1.25507424769e+002
+1.48095763705e+003,-1.26357849665e+002
+1.50762931560e+003,-1.25735375585e+002
+1.53478134445e+003,-1.25735375584e+002
+1.56242237458e+003,-1.25563848984e+002
+1.59056121278e+003,-1.26199643135e+002
+1.61920682446e+003,-1.26091820257e+002
+1.64836833648e+003,-1.25292760248e+002
+1.67805504007e+003,-1.25354167555e+002
+1.70827639381e+003,-1.26153383415e+002
+1.73904202661e+003,-1.26035190929e+002
+1.77036174080e+003,-1.25681436124e+002
+1.80224551525e+003,-1.26412938074e+002
+1.83470350855e+003,-1.26518469388e+002
+1.86774606222e+003,-1.26851318601e+002
+1.90138370407e+003,-1.26692685865e+002
+1.93562715148e+003,-1.26534401775e+002
+1.97048731486e+003,-1.26281852439e+002
+2.00597530110e+003,-1.26068616962e+002
+2.04210241715e+003,-1.27132953026e+002
+2.07888017356e+003,-1.26279420542e+002
+2.11632028822e+003,-1.26769350315e+002
+2.15443469003e+003,-1.27320377155e+002
+2.19323552273e+003,-1.27167326639e+002
+2.23273514878e+003,-1.27165186027e+002
+2.27294615326e+003,-1.27229571360e+002
