Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-9.99224590777e+001
+1.01800975118e+003,-1.00001417502e+002
+1.03634385350e+003,-1.02386252249e+002
+1.05500814844e+003,-1.02463380068e+002
+1.07400858268e+003,-1.02905476915e+002
+1.09335121002e+003,-1.05667315301e+002
+1.11304219327e+003,-1.05742386593e+002
+1.13308780622e+003,-1.06210367026e+002
+1.15349443568e+003,-1.06210242429e+002
+1.17426858345e+003,-1.06272576058e+002
+1.19541686846e+003,-1.03287909648e+002
+1.21694602882e+003,-9.95878150260e+001
+1.23886292399e+003,-9.96486088331e+001
+1.26117453700e+003,-9.91711887370e+001
+1.28388797661e+003,-9.89215894756e+001
+1.30701047961e+003,-1.00319155077e+002
+1.33054941314e+003,-1.01424507497e+002
+1.35451227700e+003,-1.01449075657e+002
+1.37890670608e+003,-1.03954924382e+002
+1.40374047276e+003,-1.05900931253e+002
+1.42902148939e+003,-1.03746425211e+002
+1.45475781085e+003,-1.03076515174e+002
+1.48095763705e+003,-1.03610599464e+002
+1.50762931560e+003,-1.04832367190e+002
+1.53478134445e+003,-1.04855632510e+002
+1.56242237458e+003,-1.09228502967e+002
+1.59056121278e+003,-1.09931470089e+002
+1.61920682446e+003,-1.05081485793e+002
+1.64836833648e+003,-1.01777505166e+002
+1.67805504007e+003,-1.00274010155e+002
+1.70827639381e+003,-9.96609433206e+001
+1.73904202661e+003,-1.02202891534e+002
+1.77036174080e+003,-1.04094423843e+002
+1.80224551525e+003,-1.04158244169e+002
+1.83470350855e+003,-1.02073289792e+002
+1.86774606222e+003,-1.02103827623e+002
+1.90138370407e+003,-1.05291241095e+002
+1.93562715148e+003,-1.04146379136e+002
+1.97048731486e+003,-1.03345515686e+002
+2.00597530110e+003,-1.00855041849e+002
+2.04210241715e+003,-1.01351596792e+002
+2.07888017356e+003,-1.03604774550e+002
+2.11632028822e+003,-1.04990707157e+002
+2.15443469003e+003,-1.03319231844e+002
+2.19323552273e+003,-1.01878464914e+002
+2.23273514878e+003,-1.02238270520e+002
+2.27294615326e+003,-1.06760875563e+002
+2.31388134792e+003,-1.03658345221e+002
+2.35555377526e+003,-1.01238630682e+002
+2.39797671264e+003,-1.03060102960e+002
+2.44116367658e+003,-1.06275868356e+002
+2.48512842698e+003,-1.05203457767e+002
+2.52988497160e+003,-1.01717752722e+002
+2.57544757045e+003,-9.99184019718e+001
+2.62183074038e+003,-1.00464186907e+002
+2.66904925965e+003,-1.01899101456e+002
+2.71711817270e+003,-1.01608481812e+002
+2.76605279492e+003,-1.03637997004e+002
+2.81586871751e+003,-1.04715260382e+002
+2.86658181246e+003,-1.03349511377e+002
+2.91820823764e+003,-1.02056188594e+002
+2.97076444190e+003,-1.01047811843e+002
+3.02426717031e+003,-1.00668848669e+002
+3.07873346955e+003,-1.02479074209e+002
+3.13418069329e+003,-1.02973225138e+002
+3.19062650773e+003,-1.06251433800e+002
+3.24808889724e+003,-1.04189513474e+002
+3.30658617009e+003,-1.05558646660e+002
+3.36613696427e+003,-1.06318012853e+002
+3.42676025343e+003,-1.00880843333e+002
+3.48847535295e+003,-1.05221701086e+002
+3.55130192606e+003,-1.02570732559e+002
+3.61525999011e+003,-1.03379174368e+002
+3.68036992298e+003,-1.01876847866e+002
+3.74665246955e+003,-1.04301066867e+002
+3.81412874828e+003,-1.03460472962e+002
+3.88282025801e+003,-1.09245488623e+002
+3.95274888473e+003,-1.03672281548e+002
+4.02393690862e+003,-1.03752025514e+002
+4.09640701111e+003,-1.03826442050e+002
+4.17018228212e+003,-1.00738578162e+002
+4.24528622739e+003,-1.04274149981e+002
+4.32174277604e+003,-1.04077010049e+002
+4.39957628810e+003,-1.03588701069e+002
+4.47881156235e+003,-1.02647620794e+002
+4.55947384417e+003,-1.01725437905e+002
+4.64158883361e+003,-1.04253556481e+002
+4.72518269359e+003,-1.04333679408e+002
+4.81028205818e+003,-1.01604745074e+002
+4.89691404115e+003,-1.01195232302e+002
+4.98510624459e+003,-1.03928193931e+002
+5.07488676766e+003,-1.02006811140e+002
+5.16628421561e+003,-1.03635259318e+002
+5.25932770886e+003,-1.02384215369e+002
+5.35404689227e+003,-1.04912210632e+002
+5.45047194461e+003,-1.02583067785e+002
+5.54863358815e+003,-1.03706748743e+002
+5.64856309846e+003,-1.04665570356e+002
+5.75029231439e+003,-1.05857542371e+002
+5.85385364818e+003,-1.03654880199e+002
+5.95928009583e+003,-1.02951893870e+002
+6.06660524757e+003,-1.04141777761e+002
