Offset Frequency (Hz),AM Noise (dBc/Hz)
+1.00000000000e+003,-1.25115337023e+002
+1.01800975118e+003,-1.25115337023e+002
+1.03634385350e+003,-1.25083013232e+002
+1.05500814844e+003,-1.25083013232e+002
+1.07400858268e+003,-1.24816441056e+002
+1.09335121002e+003,-1.24933761924e+002
+1.11304219327e+003,-1.24933761924e+002
+1.13308780622e+003,-1.24814226604e+002
+1.15349443568e+003,-1.24689641122e+002
+1.17426858345e+003,-1.24689641122e+002
+1.19541686846e+003,-1.25072808659e+002
+1.21694602882e+003,-1.25491009468e+002
+1.23886292399e+003,-1.25491009467e+002
+1.26117453700e+003,-1.25540404103e+002
+1.28388797661e+003,-1.25584788000e+002
+1.30701047961e+003,-1.25797001071e+002
+1.33054941314e+003,-1.25853084318e+002
+1.35451227700e+003,-1.25853084318e+002
+1.37890670608e+003,-1.25892513081e+002
+1.40374047276e+003,-1.25552515931e+002
+1.42902148939e+003,-1.25286226334e+002
+1.45475781085e+003,-1.25587370227e+002
+1.48095763705e+003,-1.26006311641e+002
+1.50762931560e+003,-1.26178051050e+002
+1.53478134445e+003,-1.26178051050e+002
+1.56242237458e+003,-1.26436218729e+002
+1.59056121278e+003,-1.26370119697e+002
+1.61920682446e+003,-1.26490465788e+002
+1.64836833648e+003,-1.26603593805e+002
+1.67805504007e+003,-1.26373784701e+002
+1.70827639381e+003,-1.26680737822e+002
+1.73904202661e+003,-1.27257173885e+002
+1.77036174080e+003,-1.27364943193e+002
+1.80224551525e+003,-1.27547838037e+002
+1.83470350855e+003,-1.26967455717e+002
+1.86774606222e+003,-1.26619035493e+002
+1.90138370407e+003,-1.26760032831e+002
+1.93562715148e+003,-1.27215789083e+002
+1.97048731486e+003,-1.27494709490e+002
+2.00597530110e+003,-1.27277048563e+002
+2.04210241715e+003,-1.27524869388e+002
+2.07888017356e+003,-1.27668881387e+002
+2.11632028822e+003,-1.27682102584e+002
+2.15443469003e+003,-1.27216849391e+002
+2.19323552273e+003,-1.27266458344e+002
+2.23273514878e+003,-1.27549406133e+002
+2.27294615326e+003,-1.27636562726e+002
+2.31388134792e+003,-1.27994722545e+002
