Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.05728786591e+002
+1.01800975118e+003,-1.05807745016e+002
+1.03634385350e+003,-1.08079078468e+002
+1.05500814844e+003,-1.08156206288e+002
+1.07400858268e+003,-1.08934976704e+002
+1.09335121002e+003,-1.11363778423e+002
+1.11304219327e+003,-1.11438849715e+002
+1.13308780622e+003,-1.11169942019e+002
+1.15349443568e+003,-1.11068924641e+002
+1.17426858345e+003,-1.11131258270e+002
+1.19541686846e+003,-1.09069515126e+002
+1.21694602882e+003,-1.05793340926e+002
+1.23886292399e+003,-1.05854134733e+002
+1.26117453700e+003,-1.05205322564e+002
+1.28388797661e+003,-1.04863950921e+002
+1.30701047961e+003,-1.06379120334e+002
+1.33054941314e+003,-1.07910877458e+002
+1.35451227700e+003,-1.07935445619e+002
+1.37890670608e+003,-1.10251081913e+002
+1.40374047276e+003,-1.11765758066e+002
+1.42902148939e+003,-1.09767455858e+002
+1.45475781085e+003,-1.09321174662e+002
+1.48095763705e+003,-1.09792467994e+002
+1.50762931560e+003,-1.10599779007e+002
+1.53478134445e+003,-1.10623044326e+002
+1.56242237458e+003,-1.13497872844e+002
+1.59056121278e+003,-1.13847892685e+002
+1.61920682446e+003,-1.10655748949e+002
+1.64836833648e+003,-1.07851275921e+002
+1.67805504007e+003,-1.06406177787e+002
+1.70827639381e+003,-1.05650895736e+002
+1.73904202661e+003,-1.08039960893e+002
+1.77036174080e+003,-1.09650172129e+002
+1.80224551525e+003,-1.09825593381e+002
+1.83470350855e+003,-1.07898357790e+002
+1.86774606222e+003,-1.08015181555e+002
+1.90138370407e+003,-1.10722358053e+002
+1.93562715148e+003,-1.09470946689e+002
+1.97048731486e+003,-1.09115819798e+002
+2.00597530110e+003,-1.07109710971e+002
+2.04210241715e+003,-1.07350501478e+002
+2.07888017356e+003,-1.09256819808e+002
+2.11632028822e+003,-1.10290437754e+002
+2.15443469003e+003,-1.09211081249e+002
+2.19323552273e+003,-1.07687871982e+002
+2.23273514878e+003,-1.08166896153e+002
+2.27294615326e+003,-1.11872807899e+002
+2.31388134792e+003,-1.09641206054e+002
+2.35555377526e+003,-1.07492161246e+002
+2.39797671264e+003,-1.08851044986e+002
+2.44116367658e+003,-1.11252735547e+002
+2.48512842698e+003,-1.10119681402e+002
+2.52988497160e+003,-1.07391714821e+002
+2.57544757045e+003,-1.06097594523e+002
+2.62183074038e+003,-1.06648165528e+002
+2.66904925965e+003,-1.07973297777e+002
+2.71711817270e+003,-1.07541780886e+002
+2.76605279492e+003,-1.08839977791e+002
+2.81586871751e+003,-1.09777671040e+002
+2.86658181246e+003,-1.08591690952e+002
+2.91820823764e+003,-1.07608827457e+002
+2.97076444190e+003,-1.07031881337e+002
+3.02426717031e+003,-1.06456440978e+002
+3.07873346955e+003,-1.07804012654e+002
+3.13418069329e+003,-1.08247181172e+002
+3.19062650773e+003,-1.10775383081e+002
+3.24808889724e+003,-1.09290951547e+002
+3.30658617009e+003,-1.10425726741e+002
+3.36613696427e+003,-1.11159345839e+002
+3.42676025343e+003,-1.06706859234e+002
+3.48847535295e+003,-1.09903055722e+002
+3.55130192606e+003,-1.08108611081e+002
+3.61525999011e+003,-1.08859103478e+002
+3.68036992298e+003,-1.07408420119e+002
+3.74665246955e+003,-1.09402830782e+002
+3.81412874828e+003,-1.08731401216e+002
+3.88282025801e+003,-1.12696897375e+002
+3.95274888473e+003,-1.08821611966e+002
+4.02393690862e+003,-1.08992200831e+002
+4.09640701111e+003,-1.09343523452e+002
+4.17018228212e+003,-1.06788829998e+002
+4.24528622739e+003,-1.09583088495e+002
+4.32174277604e+003,-1.09452553670e+002
+4.39957628810e+003,-1.09344484443e+002
+4.47881156235e+003,-1.08722852635e+002
+4.55947384417e+003,-1.07320827679e+002
+4.64158883361e+003,-1.10048910849e+002
+4.72518269359e+003,-1.10027754895e+002
+4.81028205818e+003,-1.07897710919e+002
+4.89691404115e+003,-1.07299024324e+002
+4.98510624459e+003,-1.09597110521e+002
+5.07488676766e+003,-1.07945256986e+002
+5.16628421561e+003,-1.09284154925e+002
+5.25932770886e+003,-1.08320866142e+002
+5.35404689227e+003,-1.10880333343e+002
+5.45047194461e+003,-1.08765735742e+002
+5.54863358815e+003,-1.09766898124e+002
+5.64856309846e+003,-1.10578075439e+002
+5.75029231439e+003,-1.11700714593e+002
+5.85385364818e+003,-1.09756329729e+002
+5.95928009583e+003,-1.09332890529e+002
+6.06660524757e+003,-1.10340465020e+002
+6.17586329859e+003,-1.12577933920e+002
+6.28708905992e+003,-1.10590420935e+002
+6.40031796953e+003,-1.07952983663e+002
+6.51558610364e+003,-1.10028464114e+002
+6.63293018816e+003,-1.07309853698e+002
+6.75238761044e+003,-1.12242087267e+002
+6.87399643118e+003,-1.10010947497e+002
+6.99779539652e+003,-1.09468225419e+002
+7.12382395042e+003,-1.07850400658e+002
+7.25212224722e+003,-1.08452335116e+002
+7.38273116442e+003,-1.11210004692e+002
+7.51569231572e+003,-1.12907052708e+002
+7.65104806427e+003,-1.09467361453e+002
+7.78884153618e+003,-1.08202686982e+002
+7.92911663423e+003,-1.08493551693e+002
+8.07191805189e+003,-1.08381110393e+002
+8.21729128755e+003,-1.08255584332e+002
+8.36528265901e+003,-1.10953501069e+002
+8.51593931825e+003,-1.09943451551e+002
+8.66930926644e+003,-1.12179388812e+002
+8.82544136923e+003,-1.10544592581e+002
+8.98438537235e+003,-1.11597849447e+002
+9.14619191741e+003,-1.09526494470e+002
+9.31091255809e+003,-1.09884278768e+002
+9.47859977652e+003,-1.11220030135e+002
+9.64930700003e+003,-1.09994584545e+002
+9.82308861817e+003,-1.10952512820e+002
+1.00000000000e+004,-1.12341251693e+002
+1.01800975118e+004,-1.13144082194e+002
+1.03634385350e+004,-1.12802151355e+002
+1.05500814844e+004,-1.11442874710e+002
+1.07400858268e+004,-1.10525565154e+002
+1.09335121002e+004,-1.13118597700e+002
+1.11304219327e+004,-1.11228811078e+002
+1.13308780622e+004,-1.10939435613e+002
+1.15349443568e+004,-1.09270480665e+002
+1.17426858345e+004,-1.12823980565e+002
+1.19541686846e+004,-1.12144327638e+002
+1.21694602882e+004,-1.12291303461e+002
+1.23886292399e+004,-1.11803295606e+002
+1.26117453700e+004,-1.11334699752e+002
+1.28388797661e+004,-1.11357435998e+002
+1.30701047961e+004,-1.11403298152e+002
+1.33054941314e+004,-1.11256096459e+002
+1.35451227700e+004,-1.10688436292e+002
+1.37890670608e+004,-1.11765799804e+002
+1.40374047276e+004,-1.12158664508e+002
+1.42902148939e+004,-1.12540115452e+002
+1.45475781085e+004,-1.14173803153e+002
+1.48095763705e+004,-1.15414468451e+002
+1.50762931560e+004,-1.16805428189e+002
+1.53478134445e+004,-1.20051542879e+002
+1.56242237458e+004,-1.24407560870e+002
+1.59056121278e+004,-1.26322212530e+002
+1.61920682446e+004,-1.27240837385e+002
+1.64836833648e+004,-1.28437858992e+002
+1.67805504007e+004,-1.29355750744e+002
+1.70827639381e+004,-1.29832949422e+002
+1.73904202661e+004,-1.30109281681e+002
+1.77036174080e+004,-1.30207760635e+002
+1.80224551525e+004,-1.29946740808e+002
+1.83470350855e+004,-1.30016845891e+002
+1.86774606222e+004,-1.30309086300e+002
+1.90138370407e+004,-1.30502957734e+002
+1.93562715148e+004,-1.30662834120e+002
+1.97048731486e+004,-1.30628212157e+002
+2.00597530110e+004,-1.30462198542e+002
+2.04210241715e+004,-1.30946851228e+002
+2.07888017356e+004,-1.30834597648e+002
+2.11632028822e+004,-1.31173864649e+002
+2.15443469003e+004,-1.31346324462e+002
+2.19323552273e+004,-1.31200894371e+002
+2.23273514878e+004,-1.31372104893e+002
+2.27294615326e+004,-1.31660973970e+002
+2.31388134792e+004,-1.31634881590e+002
+2.35555377526e+004,-1.31717032044e+002
+2.39797671264e+004,-1.31812683964e+002
+2.44116367658e+004,-1.31953527397e+002
+2.48512842698e+004,-1.32038816198e+002
+2.52988497160e+004,-1.32148735408e+002
+2.57544757045e+004,-1.32349005487e+002
+2.62183074038e+004,-1.32444963845e+002
+2.66904925965e+004,-1.32277105862e+002
+2.71711817270e+004,-1.32579379048e+002
+2.76605279492e+004,-1.32575577341e+002
+2.81586871751e+004,-1.32595615147e+002
+2.86658181246e+004,-1.32730682271e+002
+2.91820823764e+004,-1.32824174837e+002
+2.97076444190e+004,-1.32685173805e+002
+3.02426717031e+004,-1.32709989020e+002
+3.07873346955e+004,-1.32882314171e+002
+3.13418069329e+004,-1.32720212553e+002
+3.19062650773e+004,-1.32835703936e+002
+3.24808889724e+004,-1.33012722075e+002
+3.30658617009e+004,-1.33052190809e+002
+3.36613696427e+004,-1.33067575307e+002
+3.42676025343e+004,-1.33167938192e+002
+3.48847535295e+004,-1.32981842688e+002
+3.55130192606e+004,-1.33086916195e+002
+3.61525999011e+004,-1.32838175018e+002
