Offset Frequency (Hz),AM Noise (dBc/Hz)
+1.00000000000e+003,-1.25122264325e+002
+1.01800975118e+003,-1.25122264325e+002
+1.03634385350e+003,-1.25465433238e+002
+1.05500814844e+003,-1.25465433238e+002
+1.07400858268e+003,-1.25697012995e+002
+1.09335121002e+003,-1.25613986465e+002
+1.11304219327e+003,-1.25613986465e+002
+1.13308780622e+003,-1.25110820504e+002
+1.15349443568e+003,-1.25351133567e+002
+1.17426858345e+003,-1.25351133567e+002
+1.19541686846e+003,-1.25692816523e+002
+1.21694602882e+003,-1.25819819746e+002
+1.23886292399e+003,-1.25819819746e+002
+1.26117453700e+003,-1.25582121986e+002
+1.28388797661e+003,-1.25017885725e+002
+1.30701047961e+003,-1.25768836331e+002
+1.33054941314e+003,-1.26429603791e+002
+1.35451227700e+003,-1.26429603791e+002
+1.37890670608e+003,-1.26400957061e+002
+1.40374047276e+003,-1.26240945028e+002
+1.42902148939e+003,-1.26145046929e+002
+1.45475781085e+003,-1.25653060299e+002
+1.48095763705e+003,-1.25474347750e+002
+1.50762931560e+003,-1.25493023356e+002
+1.53478134445e+003,-1.25493023356e+002
+1.56242237458e+003,-1.26786546644e+002
+1.59056121278e+003,-1.26547525911e+002
+1.61920682446e+003,-1.26854777066e+002
+1.64836833648e+003,-1.26433343881e+002
+1.67805504007e+003,-1.25935014730e+002
+1.70827639381e+003,-1.26538412438e+002
+1.73904202661e+003,-1.26860047979e+002
+1.77036174080e+003,-1.27460358490e+002
+1.80224551525e+003,-1.27023619923e+002
+1.83470350855e+003,-1.26688828862e+002
+1.86774606222e+003,-1.26448310303e+002
+1.90138370407e+003,-1.27061552476e+002
+1.93562715148e+003,-1.26355580598e+002
+1.97048731486e+003,-1.26804997699e+002
+2.00597530110e+003,-1.27186157332e+002
+2.04210241715e+003,-1.27491670833e+002
+2.07888017356e+003,-1.26981857967e+002
+2.11632028822e+003,-1.27814317293e+002
+2.15443469003e+003,-1.27935769464e+002
+2.19323552273e+003,-1.27314890485e+002
+2.23273514878e+003,-1.27260888066e+002
+2.27294615326e+003,-1.27998306866e+002
+2.31388134792e+003,-1.28119974104e+002
+2.35555377526e+003,-1.27619374346e+002
+2.39797671264e+003,-1.27712579559e+002
+2.44116367658e+003,-1.27306442651e+002
+2.48512842698e+003,-1.29061817290e+002
+2.52988497160e+003,-1.28596772512e+002
+2.57544757045e+003,-1.27391172649e+002
+2.62183074038e+003,-1.26792012941e+002
+2.66904925965e+003,-1.28182040676e+002
+2.71711817270e+003,-1.27859490300e+002
+2.76605279492e+003,-1.27925548432e+002
+2.81586871751e+003,-1.27469646221e+002
+2.86658181246e+003,-1.28116313677e+002
+2.91820823764e+003,-1.28668200484e+002
+2.97076444190e+003,-1.28290506947e+002
+3.02426717031e+003,-1.27955967806e+002
+3.07873346955e+003,-1.27286345426e+002
+3.13418069329e+003,-1.28544615366e+002
+3.19062650773e+003,-1.27195155258e+002
+3.24808889724e+003,-1.27237486060e+002
+3.30658617009e+003,-1.28736064077e+002
+3.36613696427e+003,-1.28440022066e+002
+3.42676025343e+003,-1.28406350551e+002
+3.48847535295e+003,-1.28639047971e+002
+3.55130192606e+003,-1.28297145672e+002
+3.61525999011e+003,-1.29373827305e+002
+3.68036992298e+003,-1.28794475832e+002
+3.74665246955e+003,-1.29485492927e+002
+3.81412874828e+003,-1.29391158245e+002
+3.88282025801e+003,-1.29208934867e+002
+3.95274888473e+003,-1.29576854738e+002
+4.02393690862e+003,-1.30565680572e+002
+4.09640701111e+003,-1.30217501215e+002
+4.17018228212e+003,-1.30195526942e+002
+4.24528622739e+003,-1.30407009587e+002
+4.32174277604e+003,-1.30971481571e+002
+4.39957628810e+003,-1.30291426126e+002
+4.47881156235e+003,-1.31298646084e+002
+4.55947384417e+003,-1.30354020907e+002
+4.64158883361e+003,-1.30769684916e+002
+4.72518269359e+003,-1.30081178005e+002
+4.81028205818e+003,-1.31177744106e+002
+4.89691404115e+003,-1.31116377187e+002
+4.98510624459e+003,-1.31259331603e+002
+5.07488676766e+003,-1.31261825324e+002
+5.16628421561e+003,-1.31730827912e+002
+5.25932770886e+003,-1.30882417607e+002
+5.35404689227e+003,-1.32220591068e+002
+5.45047194461e+003,-1.31690819664e+002
+5.54863358815e+003,-1.31514193254e+002
+5.64856309846e+003,-1.32758643302e+002
+5.75029231439e+003,-1.32613139769e+002
+5.85385364818e+003,-1.32041894611e+002
+5.95928009583e+003,-1.31117651752e+002
+6.06660524757e+003,-1.32225452512e+002
+6.17586329859e+003,-1.32203899302e+002
+6.28708905992e+003,-1.31615745864e+002
+6.40031796953e+003,-1.32331358161e+002
+6.51558610364e+003,-1.32653602823e+002
+6.63293018816e+003,-1.31573772396e+002
+6.75238761044e+003,-1.33305776565e+002
+6.87399643118e+003,-1.31985127099e+002
+6.99779539652e+003,-1.32534572345e+002
+7.12382395042e+003,-1.31825951516e+002
+7.25212224722e+003,-1.31752492216e+002
+7.38273116442e+003,-1.33173692266e+002
+7.51569231572e+003,-1.33633305140e+002
+7.65104806427e+003,-1.32445104961e+002
