Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.30701047961e+004,-1.26287161008e+002
+1.33054941314e+004,-1.26344216672e+002
+1.35451227700e+004,-1.26324688715e+002
+1.37890670608e+004,-1.26444168699e+002
+1.40374047276e+004,-1.26526124459e+002
+1.42902148939e+004,-1.26690939845e+002
+1.45475781085e+004,-1.26662979377e+002
+1.48095763705e+004,-1.26817238074e+002
+1.50762931560e+004,-1.26770315064e+002
+1.53478134445e+004,-1.26948874950e+002
+1.56242237458e+004,-1.27357449241e+002
+1.59056121278e+004,-1.27213637748e+002
+1.61920682446e+004,-1.27536884005e+002
+1.64836833648e+004,-1.27806898259e+002
+1.67805504007e+004,-1.27697106495e+002
+1.70827639381e+004,-1.28128093997e+002
+1.73904202661e+004,-1.28132847683e+002
+1.77036174080e+004,-1.28348505690e+002
+1.80224551525e+004,-1.28414153574e+002
+1.83470350855e+004,-1.28435678391e+002
+1.86774606222e+004,-1.28968384448e+002
+1.90138370407e+004,-1.28809323990e+002
+1.93562715148e+004,-1.28910373827e+002
+1.97048731486e+004,-1.28990113626e+002
+2.00597530110e+004,-1.28982378425e+002
+2.04210241715e+004,-1.29331937784e+002
+2.07888017356e+004,-1.29540172374e+002
+2.11632028822e+004,-1.29633166837e+002
+2.15443469003e+004,-1.29752202616e+002
+2.19323552273e+004,-1.29869361844e+002
+2.23273514878e+004,-1.30211411681e+002
+2.27294615326e+004,-1.30426591994e+002
+2.31388134792e+004,-1.30377559723e+002
+2.35555377526e+004,-1.30560864309e+002
+2.39797671264e+004,-1.30615560983e+002
+2.44116367658e+004,-1.30821830176e+002
+2.48512842698e+004,-1.31052616542e+002
+2.52988497160e+004,-1.31124606786e+002
+2.57544757045e+004,-1.31175725089e+002
+2.62183074038e+004,-1.31177916388e+002
+2.66904925965e+004,-1.31480007439e+002
+2.71711817270e+004,-1.31512540937e+002
+2.76605279492e+004,-1.31739126576e+002
+2.81586871751e+004,-1.31718009899e+002
+2.86658181246e+004,-1.31907141962e+002
+2.91820823764e+004,-1.32039655162e+002
+2.97076444190e+004,-1.32324125205e+002
+3.02426717031e+004,-1.32215988186e+002
+3.07873346955e+004,-1.32532420942e+002
+3.13418069329e+004,-1.32532624042e+002
+3.19062650773e+004,-1.32871583088e+002
+3.24808889724e+004,-1.32891426979e+002
+3.30658617009e+004,-1.32890494353e+002
+3.36613696427e+004,-1.33040260289e+002
+3.42676025343e+004,-1.33179478104e+002
+3.48847535295e+004,-1.33290298148e+002
+3.55130192606e+004,-1.33487878163e+002
+3.61525999011e+004,-1.33425274267e+002
+3.68036992298e+004,-1.33693492732e+002
+3.74665246955e+004,-1.33883531405e+002
+3.81412874828e+004,-1.33930800604e+002
+3.88282025801e+004,-1.34097151416e+002
+3.95274888473e+004,-1.34094493817e+002
+4.02393690862e+004,-1.34156217049e+002
+4.09640701111e+004,-1.34498506107e+002
+4.17018228212e+004,-1.34467478644e+002
+4.24528622739e+004,-1.34568479674e+002
+4.32174277604e+004,-1.14177353103e+002
+4.39957628810e+004,-1.21877838259e+002
+4.47881156235e+004,-1.34922822296e+002
+4.55947384417e+004,-1.35089720408e+002
+4.64158883361e+004,-1.35135858066e+002
+4.72518269359e+004,-1.35162910112e+002
+4.81028205818e+004,-1.35481482679e+002
+4.89691404115e+004,-1.35419612664e+002
+4.98510624459e+004,-1.35653039697e+002
+5.07488676766e+004,-1.35524559381e+002
+5.16628421561e+004,-1.35810923717e+002
+5.25932770886e+004,-1.36043995204e+002
+5.35404689227e+004,-1.35980885350e+002
+5.45047194461e+004,-1.36224137675e+002
+5.54863358815e+004,-1.36340010580e+002
+5.64856309846e+004,-1.36478400071e+002
+5.75029231439e+004,-1.36784752805e+002
+5.85385364818e+004,-1.36763087622e+002
+5.95928009583e+004,-1.36904359134e+002
+6.06660524757e+004,-1.37049585639e+002
+6.17586329859e+004,-1.37342920026e+002
+6.28708905992e+004,-1.37442566217e+002
+6.40031796953e+004,-1.37508983433e+002
+6.51558610364e+004,-1.37056698649e+002
+6.63293018816e+004,-1.37970163276e+002
+6.75238761044e+004,-1.37091916958e+002
+6.87399643118e+004,-1.37577545077e+002
+6.99779539652e+004,-1.38437821364e+002
+7.12382395042e+004,-1.38590152444e+002
+7.25212224722e+004,-1.38767737453e+002
+7.38273116442e+004,-1.38958564885e+002
+7.51569231572e+004,-1.39207781172e+002
+7.65104806427e+004,-1.39408641789e+002
+7.78884153618e+004,-1.39601157018e+002
+7.92911663423e+004,-1.39829214868e+002
+8.07191805189e+004,-1.40272691196e+002
+8.21729128755e+004,-1.40395204368e+002
+8.36528265901e+004,-1.40735984908e+002
+8.51593931825e+004,-1.41038979743e+002
+8.66930926644e+004,-1.15854713509e+002
+8.82544136923e+004,-1.41526332876e+002
+8.98438537235e+004,-1.41900987604e+002
+9.14619191741e+004,-1.41990373529e+002
+9.31091255809e+004,-1.42323068172e+002
+9.47859977652e+004,-1.42600338532e+002
+9.64930700003e+004,-1.43057267531e+002
+9.82308861817e+004,-1.43042263293e+002
+1.00000000000e+005,-1.43483735802e+002
+1.01800975118e+005,-1.43868460354e+002
+1.03634385350e+005,-1.44254308065e+002
+1.05500814844e+005,-1.44693803194e+002
+1.07400858268e+005,-1.44897037513e+002
+1.09335121002e+005,-1.44971118609e+002
+1.11304219327e+005,-1.45472284965e+002
+1.13308780622e+005,-1.45913428649e+002
+1.15349443568e+005,-1.46406906872e+002
+1.17426858345e+005,-1.46535972152e+002
+1.19541686846e+005,-1.46767785926e+002
+1.21694602882e+005,-1.47053298771e+002
+1.23886292399e+005,-1.47050850808e+002
+1.26117453700e+005,-1.45480054266e+002
+1.28388797661e+005,-1.30196330751e+002
+1.30701047961e+005,-1.24666302361e+002
+1.33054941314e+005,-1.38391532619e+002
