Offset Frequency (Hz),AM Noise (dBc/Hz)
+1.00000000000e+003,-1.24098491435e+002
+1.01800975118e+003,-1.24098491435e+002
+1.03634385350e+003,-1.24427089918e+002
+1.05500814844e+003,-1.24427089918e+002
+1.07400858268e+003,-1.24563463928e+002
+1.09335121002e+003,-1.24482590114e+002
+1.11304219327e+003,-1.24482590114e+002
+1.13308780622e+003,-1.24510245988e+002
+1.15349443568e+003,-1.24553243405e+002
+1.17426858345e+003,-1.24553243405e+002
+1.19541686846e+003,-1.24796697255e+002
+1.21694602882e+003,-1.24899132380e+002
+1.23886292399e+003,-1.24899132380e+002
+1.26117453700e+003,-1.25184250417e+002
+1.28388797661e+003,-1.25560234324e+002
+1.30701047961e+003,-1.25596777255e+002
+1.33054941314e+003,-1.26045395915e+002
+1.35451227700e+003,-1.26045395915e+002
+1.37890670608e+003,-1.26187003544e+002
+1.40374047276e+003,-1.26370261545e+002
+1.42902148939e+003,-1.25721076952e+002
+1.45475781085e+003,-1.25329430991e+002
+1.48095763705e+003,-1.25694686237e+002
+1.50762931560e+003,-1.26591746772e+002
+1.53478134445e+003,-1.26591746772e+002
+1.56242237458e+003,-1.26989556222e+002
+1.59056121278e+003,-1.26648942461e+002
+1.61920682446e+003,-1.26710757849e+002
+1.64836833648e+003,-1.26424400814e+002
+1.67805504007e+003,-1.26941796445e+002
+1.70827639381e+003,-1.27291106915e+002
+1.73904202661e+003,-1.26930471529e+002
+1.77036174080e+003,-1.26739237126e+002
+1.80224551525e+003,-1.27138603985e+002
+1.83470350855e+003,-1.26758212427e+002
+1.86774606222e+003,-1.26439422461e+002
+1.90138370407e+003,-1.26638236543e+002
+1.93562715148e+003,-1.26980499890e+002
+1.97048731486e+003,-1.26846461700e+002
+2.00597530110e+003,-1.26756151974e+002
+2.04210241715e+003,-1.27902413288e+002
+2.07888017356e+003,-1.27469925278e+002
+2.11632028822e+003,-1.27624844296e+002
+2.15443469003e+003,-1.27610906163e+002
+2.19323552273e+003,-1.27905239520e+002
+2.23273514878e+003,-1.27041807401e+002
+2.27294615326e+003,-1.27457070353e+002
+2.31388134792e+003,-1.27952387882e+002
+2.35555377526e+003,-1.27829745032e+002
+2.39797671264e+003,-1.28545721806e+002
+2.44116367658e+003,-1.28043946249e+002
+2.48512842698e+003,-1.28318758987e+002
+2.52988497160e+003,-1.27897278574e+002
+2.57544757045e+003,-1.28018841529e+002
+2.62183074038e+003,-1.27316371103e+002
+2.66904925965e+003,-1.27977869601e+002
+2.71711817270e+003,-1.27668267752e+002
+2.76605279492e+003,-1.28525543718e+002
+2.81586871751e+003,-1.28461623028e+002
+2.86658181246e+003,-1.27730353646e+002
+2.91820823764e+003,-1.26972520883e+002
+2.97076444190e+003,-1.27824729263e+002
+3.02426717031e+003,-1.28021262854e+002
+3.07873346955e+003,-1.27659898546e+002
+3.13418069329e+003,-1.28328104223e+002
+3.19062650773e+003,-1.28089306596e+002
+3.24808889724e+003,-1.27609026882e+002
+3.30658617009e+003,-1.28024185500e+002
+3.36613696427e+003,-1.28462170610e+002
+3.42676025343e+003,-1.27980060249e+002
+3.48847535295e+003,-1.28657867041e+002
+3.55130192606e+003,-1.28150139102e+002
+3.61525999011e+003,-1.28437972219e+002
+3.68036992298e+003,-1.28708442648e+002
+3.74665246955e+003,-1.29086851468e+002
+3.81412874828e+003,-1.29959658814e+002
+3.88282025801e+003,-1.29585508406e+002
+3.95274888473e+003,-1.29229198850e+002
