Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.30701047961e+004,-1.11336616536e+002
+1.33054941314e+004,-1.11148946890e+002
+1.35451227700e+004,-1.10676918101e+002
+1.37890670608e+004,-1.11795037299e+002
+1.40374047276e+004,-1.12181187330e+002
+1.42902148939e+004,-1.12666968004e+002
+1.45475781085e+004,-1.14335938463e+002
+1.48095763705e+004,-1.15500990556e+002
+1.50762931560e+004,-1.16791407666e+002
+1.53478134445e+004,-1.20007588279e+002
+1.56242237458e+004,-1.24247166842e+002
+1.59056121278e+004,-1.26335704518e+002
+1.61920682446e+004,-1.27253209221e+002
+1.64836833648e+004,-1.28393781028e+002
+1.67805504007e+004,-1.29256490511e+002
+1.70827639381e+004,-1.29680607089e+002
+1.73904202661e+004,-1.29660577448e+002
+1.77036174080e+004,-1.29647415174e+002
+1.80224551525e+004,-1.29609994316e+002
+1.83470350855e+004,-1.30005059306e+002
+1.86774606222e+004,-1.30125336235e+002
+1.90138370407e+004,-1.30108333685e+002
+1.93562715148e+004,-1.30420836018e+002
+1.97048731486e+004,-1.30397198834e+002
+2.00597530110e+004,-1.30256867904e+002
+2.04210241715e+004,-1.30706265409e+002
+2.07888017356e+004,-1.30979401521e+002
+2.11632028822e+004,-1.30888472367e+002
+2.15443469003e+004,-1.30826528157e+002
+2.19323552273e+004,-1.31036480411e+002
+2.23273514878e+004,-1.31354101454e+002
+2.27294615326e+004,-1.31530581306e+002
+2.31388134792e+004,-1.31396180105e+002
+2.35555377526e+004,-1.31604412147e+002
+2.39797671264e+004,-1.31561714403e+002
+2.44116367658e+004,-1.31647329341e+002
+2.48512842698e+004,-1.31833948081e+002
+2.52988497160e+004,-1.32049153415e+002
+2.57544757045e+004,-1.31994128145e+002
+2.62183074038e+004,-1.32016795045e+002
+2.66904925965e+004,-1.32086035025e+002
+2.71711817270e+004,-1.32075566890e+002
+2.76605279492e+004,-1.32149943326e+002
+2.81586871751e+004,-1.32205015093e+002
+2.86658181246e+004,-1.32339662756e+002
+2.91820823764e+004,-1.32291622064e+002
+2.97076444190e+004,-1.32213520441e+002
+3.02426717031e+004,-1.32533272270e+002
+3.07873346955e+004,-1.32496464512e+002
+3.13418069329e+004,-1.32363035840e+002
+3.19062650773e+004,-1.32480222330e+002
+3.24808889724e+004,-1.32499097371e+002
+3.30658617009e+004,-1.32652559470e+002
+3.36613696427e+004,-1.32613268164e+002
+3.42676025343e+004,-1.32809462710e+002
+3.48847535295e+004,-1.32776286362e+002
+3.55130192606e+004,-1.32741400587e+002
+3.61525999011e+004,-1.32514187529e+002
+3.68036992298e+004,-1.32808737231e+002
+3.74665246955e+004,-1.32782921225e+002
+3.81412874828e+004,-1.32614498132e+002
+3.88282025801e+004,-1.32615671413e+002
+3.95274888473e+004,-1.32527807646e+002
+4.02393690862e+004,-1.32576214929e+002
+4.09640701111e+004,-1.32512849253e+002
+4.17018228212e+004,-1.32558341104e+002
+4.24528622739e+004,-1.32535305466e+002
+4.32174277604e+004,-1.15526570686e+002
+4.39957628810e+004,-1.22965442120e+002
+4.47881156235e+004,-1.32250593853e+002
+4.55947384417e+004,-1.32139647907e+002
+4.64158883361e+004,-1.32044951745e+002
+4.72518269359e+004,-1.32131801681e+002
+4.81028205818e+004,-1.32069566190e+002
+4.89691404115e+004,-1.32256862982e+002
+4.98510624459e+004,-1.32203711900e+002
+5.07488676766e+004,-1.32268471504e+002
+5.16628421561e+004,-1.32248731139e+002
+5.25932770886e+004,-1.32266573763e+002
+5.35404689227e+004,-1.32499500555e+002
+5.45047194461e+004,-1.32593106564e+002
+5.54863358815e+004,-1.32839861032e+002
+5.64856309846e+004,-1.33014376855e+002
+5.75029231439e+004,-1.33137106509e+002
+5.85385364818e+004,-1.33325418952e+002
+5.95928009583e+004,-1.33540847740e+002
+6.06660524757e+004,-1.33862185474e+002
+6.17586329859e+004,-1.34162461355e+002
+6.28708905992e+004,-1.34253485121e+002
+6.40031796953e+004,-1.34650145638e+002
+6.51558610364e+004,-1.34739587772e+002
+6.63293018816e+004,-1.35105027802e+002
+6.75238761044e+004,-1.35212674962e+002
+6.87399643118e+004,-1.35515655685e+002
+6.99779539652e+004,-1.35973740380e+002
+7.12382395042e+004,-1.36201686250e+002
+7.25212224722e+004,-1.36420442906e+002
+7.38273116442e+004,-1.36923806113e+002
+7.51569231572e+004,-1.37080631731e+002
+7.65104806427e+004,-1.37444420171e+002
+7.78884153618e+004,-1.37654380717e+002
+7.92911663423e+004,-1.37798117864e+002
+8.07191805189e+004,-1.38261926102e+002
+8.21729128755e+004,-1.38446175381e+002
+8.36528265901e+004,-1.38420853150e+002
+8.51593931825e+004,-1.38671691848e+002
+8.66930926644e+004,-1.18700533783e+002
+8.82544136923e+004,-1.39489296112e+002
+8.98438537235e+004,-1.39739558830e+002
+9.14619191741e+004,-1.40024365719e+002
+9.31091255809e+004,-1.40245775635e+002
+9.47859977652e+004,-1.40513985971e+002
+9.64930700003e+004,-1.40944543375e+002
+9.82308861817e+004,-1.40575448915e+002
+1.00000000000e+005,-1.41024414657e+002
+1.01800975118e+005,-1.41559445290e+002
+1.03634385350e+005,-1.41904137219e+002
+1.05500814844e+005,-1.42190827123e+002
+1.07400858268e+005,-1.42399457548e+002
+1.09335121002e+005,-1.42696364330e+002
+1.11304219327e+005,-1.43041453825e+002
+1.13308780622e+005,-1.43423883181e+002
+1.15349443568e+005,-1.44000747275e+002
+1.17426858345e+005,-1.44393441169e+002
+1.19541686846e+005,-1.44616957991e+002
+1.21694602882e+005,-1.44994208560e+002
+1.23886292399e+005,-1.45461656120e+002
+1.26117453700e+005,-1.44877134834e+002
+1.28388797661e+005,-1.31949783320e+002
+1.30701047961e+005,-1.26477231403e+002
+1.33054941314e+005,-1.39765073268e+002
+1.35451227700e+005,-1.47064881451e+002
+1.37890670608e+005,-1.47394652425e+002
+1.40374047276e+005,-1.47961375791e+002
+1.42902148939e+005,-1.48081099892e+002
+1.45475781085e+005,-1.48279002008e+002
+1.48095763705e+005,-1.48624608899e+002
+1.50762931560e+005,-1.48816826100e+002
+1.53478134445e+005,-1.49311213584e+002
+1.56242237458e+005,-1.49436413314e+002
+1.59056121278e+005,-1.49894377098e+002
+1.61920682446e+005,-1.49644965450e+002
+1.64836833648e+005,-1.50070766385e+002
+1.67805504007e+005,-1.50063717771e+002
+1.70827639381e+005,-1.33865357617e+002
+1.73904202661e+005,-1.26879229022e+002
+1.77036174080e+005,-1.34559392751e+002
+1.80224551525e+005,-1.51101034672e+002
+1.83470350855e+005,-1.51285501033e+002
+1.86774606222e+005,-1.51121026482e+002
+1.90138370407e+005,-1.51719826253e+002
+1.93562715148e+005,-1.51683592046e+002
+1.97048731486e+005,-1.51438757455e+002
+2.00597530110e+005,-1.51795648957e+002
+2.04210241715e+005,-1.51847414984e+002
+2.07888017356e+005,-1.51613620809e+002
+2.11632028822e+005,-1.52126244547e+002
+2.15443469003e+005,-1.32300089969e+002
+2.19323552273e+005,-1.31757962381e+002
+2.23273514878e+005,-1.52579899363e+002
+2.27294615326e+005,-1.52424737587e+002
+2.31388134792e+005,-1.52571830524e+002
+2.35555377526e+005,-1.52929776330e+002
+2.39797671264e+005,-1.52825804483e+002
+2.44116367658e+005,-1.53618316451e+002
+2.48512842698e+005,-1.53291032077e+002
+2.52988497160e+005,-1.53232541955e+002
+2.57544757045e+005,-1.32466232699e+002
+2.62183074038e+005,-1.31277209761e+002
+2.66904925965e+005,-1.54405648001e+002
+2.71711817270e+005,-1.54159624624e+002
+2.76605279492e+005,-1.54301852028e+002
+2.81586871751e+005,-1.52619803126e+002
+2.86658181246e+005,-1.54604068609e+002
+2.91820823764e+005,-1.55016500224e+002
+2.97076444190e+005,-1.54205751127e+002
+3.02426717031e+005,-1.29531290140e+002
+3.07873346955e+005,-1.34772485757e+002
+3.13418069329e+005,-1.55320358110e+002
+3.19062650773e+005,-1.55402150802e+002
+3.24808889724e+005,-1.55755161400e+002
+3.30658617009e+005,-1.55765540276e+002
+3.36613696427e+005,-1.56293096413e+002
+3.42676025343e+005,-1.35739384664e+002
+3.48847535295e+005,-1.30848559942e+002
+3.55130192606e+005,-1.56407042327e+002
+3.61525999011e+005,-1.56723627787e+002
+3.68036992298e+005,-1.56444572549e+002
+3.74665246955e+005,-1.57060948868e+002
+3.81412874828e+005,-1.56470810481e+002
+3.88282025801e+005,-1.31264858424e+002
+3.95274888473e+005,-1.41351565218e+002
+4.02393690862e+005,-1.56901264691e+002
+4.09640701111e+005,-1.57534716818e+002
+4.17018228212e+005,-1.57834706569e+002
+4.24528622739e+005,-1.57860247905e+002
+4.32174277604e+005,-1.31228813247e+002
+4.39957628810e+005,-1.45402459497e+002
