Offset Frequency (Hz),AM Noise (dBc/Hz)
+1.00000000000e+003,-1.24251607511e+002
+1.01800975118e+003,-1.24251607511e+002
+1.03634385350e+003,-1.24567951784e+002
+1.05500814844e+003,-1.24567951784e+002
+1.07400858268e+003,-1.25038528873e+002
+1.09335121002e+003,-1.25109512677e+002
+1.11304219327e+003,-1.25109512677e+002
+1.13308780622e+003,-1.25128788844e+002
+1.15349443568e+003,-1.24975712045e+002
+1.17426858345e+003,-1.24975712045e+002
+1.19541686846e+003,-1.24729074786e+002
+1.21694602882e+003,-1.24769519932e+002
+1.23886292399e+003,-1.24769519932e+002
+1.26117453700e+003,-1.25630489511e+002
+1.28388797661e+003,-1.25903403127e+002
+1.30701047961e+003,-1.25707781041e+002
+1.33054941314e+003,-1.25463264284e+002
+1.35451227700e+003,-1.25463264284e+002
+1.37890670608e+003,-1.25533940220e+002
+1.40374047276e+003,-1.25944571671e+002
+1.42902148939e+003,-1.25701756878e+002
+1.45475781085e+003,-1.25662558942e+002
+1.48095763705e+003,-1.26119624880e+002
+1.50762931560e+003,-1.26034677871e+002
+1.53478134445e+003,-1.26034677871e+002
+1.56242237458e+003,-1.26001225431e+002
+1.59056121278e+003,-1.26183368149e+002
+1.61920682446e+003,-1.26230584705e+002
+1.64836833648e+003,-1.26477701115e+002
+1.67805504007e+003,-1.26735362215e+002
+1.70827639381e+003,-1.26824201207e+002
+1.73904202661e+003,-1.26973914085e+002
+1.77036174080e+003,-1.27345328253e+002
+1.80224551525e+003,-1.27381036169e+002
+1.83470350855e+003,-1.26894377599e+002
+1.86774606222e+003,-1.26716465531e+002
+1.90138370407e+003,-1.27106198506e+002
+1.93562715148e+003,-1.27252055684e+002
+1.97048731486e+003,-1.27279319352e+002
+2.00597530110e+003,-1.27245507871e+002
+2.04210241715e+003,-1.27991812120e+002
+2.07888017356e+003,-1.27558675746e+002
+2.11632028822e+003,-1.27380720994e+002
+2.15443469003e+003,-1.27464443681e+002
+2.19323552273e+003,-1.27942276727e+002
+2.23273514878e+003,-1.27412931326e+002
+2.27294615326e+003,-1.27631738033e+002
+2.31388134792e+003,-1.27342164204e+002
+2.35555377526e+003,-1.27574512796e+002
+2.39797671264e+003,-1.28227245670e+002
+2.44116367658e+003,-1.27819629630e+002
+2.48512842698e+003,-1.28463204934e+002
+2.52988497160e+003,-1.27455839957e+002
+2.57544757045e+003,-1.27820612048e+002
+2.62183074038e+003,-1.27353658378e+002
+2.66904925965e+003,-1.27683719447e+002
+2.71711817270e+003,-1.27175185821e+002
+2.76605279492e+003,-1.28154970616e+002
+2.81586871751e+003,-1.28552034872e+002
+2.86658181246e+003,-1.27875830117e+002
+2.91820823764e+003,-1.27508592189e+002
+2.97076444190e+003,-1.28492222377e+002
+3.02426717031e+003,-1.28151388773e+002
+3.07873346955e+003,-1.27747668142e+002
+3.13418069329e+003,-1.27725533682e+002
+3.19062650773e+003,-1.27468630698e+002
+3.24808889724e+003,-1.27529725143e+002
+3.30658617009e+003,-1.28314976073e+002
+3.36613696427e+003,-1.27904330214e+002
+3.42676025343e+003,-1.28212540115e+002
+3.48847535295e+003,-1.28537183568e+002
+3.55130192606e+003,-1.28288249895e+002
+3.61525999011e+003,-1.28415837479e+002
+3.68036992298e+003,-1.28598001931e+002
+3.74665246955e+003,-1.28774850530e+002
+3.81412874828e+003,-1.29933624079e+002
+3.88282025801e+003,-1.29193396334e+002
+3.95274888473e+003,-1.29247578680e+002
+4.02393690862e+003,-1.30478900176e+002
+4.09640701111e+003,-1.29894970910e+002
+4.17018228212e+003,-1.29845957094e+002
+4.24528622739e+003,-1.30347985309e+002
+4.32174277604e+003,-1.30690073798e+002
+4.39957628810e+003,-1.30734660216e+002
