Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.08721233694e+002
+1.01800975118e+003,-1.08800192118e+002
+1.03634385350e+003,-1.10096790514e+002
+1.05500814844e+003,-1.10173918333e+002
+1.07400858268e+003,-1.10822234588e+002
+1.09335121002e+003,-1.11275430837e+002
+1.11304219327e+003,-1.11350502128e+002
+1.13308780622e+003,-1.11980840612e+002
+1.15349443568e+003,-1.11908920592e+002
+1.17426858345e+003,-1.11971254222e+002
+1.19541686846e+003,-1.11329908948e+002
+1.21694602882e+003,-1.09959325130e+002
+1.23886292399e+003,-1.10020118937e+002
+1.26117453700e+003,-1.09487050918e+002
+1.28388797661e+003,-1.08658149048e+002
+1.30701047961e+003,-1.09390038877e+002
+1.33054941314e+003,-1.09927538722e+002
+1.35451227700e+003,-1.09952106883e+002
+1.37890670608e+003,-1.11187018026e+002
+1.40374047276e+003,-1.12308915511e+002
+1.42902148939e+003,-1.11243357724e+002
+1.45475781085e+003,-1.10938409346e+002
+1.48095763705e+003,-1.11168261838e+002
+1.50762931560e+003,-1.11573919354e+002
+1.53478134445e+003,-1.11597184674e+002
+1.56242237458e+003,-1.12137764998e+002
+1.59056121278e+003,-1.11975727333e+002
+1.61920682446e+003,-1.11225405989e+002
+1.64836833648e+003,-1.10377252137e+002
+1.67805504007e+003,-1.09963659748e+002
+1.70827639381e+003,-1.09716915365e+002
+1.73904202661e+003,-1.10850367925e+002
+1.77036174080e+003,-1.11490213081e+002
+1.80224551525e+003,-1.10448303768e+002
+1.83470350855e+003,-1.09646457620e+002
+1.86774606222e+003,-1.09922256382e+002
+1.90138370407e+003,-1.11027902207e+002
+1.93562715148e+003,-1.10279510070e+002
+1.97048731486e+003,-1.10490724258e+002
+2.00597530110e+003,-1.09238805839e+002
+2.04210241715e+003,-1.09498741098e+002
+2.07888017356e+003,-1.10502382779e+002
+2.11632028822e+003,-1.11289942930e+002
+2.15443469003e+003,-1.10467603554e+002
+2.19323552273e+003,-1.10356455061e+002
+2.23273514878e+003,-1.10723806736e+002
+2.27294615326e+003,-1.11639749788e+002
+2.31388134792e+003,-1.10394426399e+002
+2.35555377526e+003,-1.09333119222e+002
+2.39797671264e+003,-1.10118651793e+002
+2.44116367658e+003,-1.10927018245e+002
+2.48512842698e+003,-1.11344061156e+002
+2.52988497160e+003,-1.09950228941e+002
+2.57544757045e+003,-1.09134929999e+002
+2.62183074038e+003,-1.09145101442e+002
+2.66904925965e+003,-1.09346074893e+002
+2.71711817270e+003,-1.10005703102e+002
+2.76605279492e+003,-1.09568384621e+002
+2.81586871751e+003,-1.09826477407e+002
+2.86658181246e+003,-1.10084428252e+002
+2.91820823764e+003,-1.09412373815e+002
+2.97076444190e+003,-1.08853965773e+002
+3.02426717031e+003,-1.08470895774e+002
+3.07873346955e+003,-1.09263500856e+002
+3.13418069329e+003,-1.09176544387e+002
+3.19062650773e+003,-1.09711016226e+002
+3.24808889724e+003,-1.09441111772e+002
+3.30658617009e+003,-1.10268554543e+002
+3.36613696427e+003,-1.10110081753e+002
+3.42676025343e+003,-1.08811015625e+002
+3.48847535295e+003,-1.09621954966e+002
+3.55130192606e+003,-1.09491891454e+002
+3.61525999011e+003,-1.10671545273e+002
+3.68036992298e+003,-1.09551091894e+002
+3.74665246955e+003,-1.10770152382e+002
+3.81412874828e+003,-1.10714729070e+002
+3.88282025801e+003,-1.11715670608e+002
+3.95274888473e+003,-1.10808246499e+002
+4.02393690862e+003,-1.11222480252e+002
+4.09640701111e+003,-1.11077135866e+002
+4.17018228212e+003,-1.10294116623e+002
+4.24528622739e+003,-1.11511759164e+002
+4.32174277604e+003,-1.11621590446e+002
+4.39957628810e+003,-1.12221920014e+002
+4.47881156235e+003,-1.11019598174e+002
+4.55947384417e+003,-1.10972081799e+002
+4.64158883361e+003,-1.12412293786e+002
+4.72518269359e+003,-1.11933888226e+002
+4.81028205818e+003,-1.11038124307e+002
+4.89691404115e+003,-1.11265062470e+002
+4.98510624459e+003,-1.12327754313e+002
+5.07488676766e+003,-1.11446803873e+002
+5.16628421561e+003,-1.11917056838e+002
+5.25932770886e+003,-1.12034091881e+002
+5.35404689227e+003,-1.12248517063e+002
+5.45047194461e+003,-1.12441100753e+002
+5.54863358815e+003,-1.13167825596e+002
+5.64856309846e+003,-1.14005516859e+002
+5.75029231439e+003,-1.14645295753e+002
+5.85385364818e+003,-1.13282707601e+002
+5.95928009583e+003,-1.12954049480e+002
+6.06660524757e+003,-1.14026675544e+002
+6.17586329859e+003,-1.15189052545e+002
+6.28708905992e+003,-1.14115217312e+002
+6.40031796953e+003,-1.11943093190e+002
+6.51558610364e+003,-1.14229950963e+002
+6.63293018816e+003,-1.12116758769e+002
+6.75238761044e+003,-1.15249551455e+002
+6.87399643118e+003,-1.14172891796e+002
+6.99779539652e+003,-1.13359015138e+002
+7.12382395042e+003,-1.12803227439e+002
+7.25212224722e+003,-1.13349471785e+002
+7.38273116442e+003,-1.15161066978e+002
+7.51569231572e+003,-1.15716070172e+002
+7.65104806427e+003,-1.14106430505e+002
+7.78884153618e+003,-1.13088501321e+002
+7.92911663423e+003,-1.13306292672e+002
+8.07191805189e+003,-1.13529496439e+002
+8.21729128755e+003,-1.13305774422e+002
+8.36528265901e+003,-1.15323182778e+002
+8.51593931825e+003,-1.14457374288e+002
+8.66930926644e+003,-1.15910371564e+002
+8.82544136923e+003,-1.15524592556e+002
+8.98438537235e+003,-1.15857714860e+002
+9.14619191741e+003,-1.14564634746e+002
+9.31091255809e+003,-1.14797000859e+002
+9.47859977652e+003,-1.15907481138e+002
+9.64930700003e+003,-1.14646929308e+002
+9.82308861817e+003,-1.15871084519e+002
+1.00000000000e+004,-1.16070280812e+002
+1.01800975118e+004,-1.17399530968e+002
+1.03634385350e+004,-1.17059032827e+002
+1.05500814844e+004,-1.16167997636e+002
+1.07400858268e+004,-1.15268063147e+002
+1.09335121002e+004,-1.17504078004e+002
+1.11304219327e+004,-1.16414447311e+002
+1.13308780622e+004,-1.16235100461e+002
+1.15349443568e+004,-1.14494413428e+002
+1.17426858345e+004,-1.17422112269e+002
+1.19541686846e+004,-1.17342759009e+002
+1.21694602882e+004,-1.17447188961e+002
+1.23886292399e+004,-1.17152423378e+002
+1.26117453700e+004,-1.16576621060e+002
+1.28388797661e+004,-1.16549956588e+002
+1.30701047961e+004,-1.16712252808e+002
+1.33054941314e+004,-1.16506108132e+002
+1.35451227700e+004,-1.15988748992e+002
+1.37890670608e+004,-1.16928361378e+002
+1.40374047276e+004,-1.17288684925e+002
+1.42902148939e+004,-1.17603822336e+002
+1.45475781085e+004,-1.18859171750e+002
+1.48095763705e+004,-1.19837486150e+002
+1.50762931560e+004,-1.20819074334e+002
+1.53478134445e+004,-1.22490034909e+002
+1.56242237458e+004,-1.24330352166e+002
+1.59056121278e+004,-1.24753646256e+002
+1.61920682446e+004,-1.25159458964e+002
+1.64836833648e+004,-1.25375522706e+002
+1.67805504007e+004,-1.25457473431e+002
+1.70827639381e+004,-1.25844224961e+002
+1.73904202661e+004,-1.25901516641e+002
+1.77036174080e+004,-1.25526854643e+002
+1.80224551525e+004,-1.25951809080e+002
+1.83470350855e+004,-1.26186042923e+002
+1.86774606222e+004,-1.26453210678e+002
+1.90138370407e+004,-1.26840496849e+002
+1.93562715148e+004,-1.26813476661e+002
+1.97048731486e+004,-1.26927975383e+002
+2.00597530110e+004,-1.26791905652e+002
+2.04210241715e+004,-1.26809445090e+002
+2.07888017356e+004,-1.27121785354e+002
+2.11632028822e+004,-1.27780010298e+002
+2.15443469003e+004,-1.27609404263e+002
+2.19323552273e+004,-1.27732763377e+002
+2.23273514878e+004,-1.27870321700e+002
+2.27294615326e+004,-1.27901413335e+002
+2.31388134792e+004,-1.28169297255e+002
+2.35555377526e+004,-1.28072205685e+002
+2.39797671264e+004,-1.28045988366e+002
+2.44116367658e+004,-1.28249705859e+002
+2.48512842698e+004,-1.28487092940e+002
+2.52988497160e+004,-1.28418806724e+002
+2.57544757045e+004,-1.28384914585e+002
