Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-9.97868365907e+001
+1.01800975118e+003,-9.98657950155e+001
+1.03634385350e+003,-1.02451398078e+002
+1.05500814844e+003,-1.02528525898e+002
+1.07400858268e+003,-1.02742665179e+002
+1.09335121002e+003,-1.04896045782e+002
+1.11304219327e+003,-1.04971117073e+002
+1.13308780622e+003,-1.05431259705e+002
+1.15349443568e+003,-1.05484709418e+002
+1.17426858345e+003,-1.05547043048e+002
+1.19541686846e+003,-1.03205761960e+002
+1.21694602882e+003,-9.96282731822e+001
+1.23886292399e+003,-9.96890669892e+001
+1.26117453700e+003,-9.90623038389e+001
+1.28388797661e+003,-9.87739856635e+001
+1.30701047961e+003,-1.00270538867e+002
+1.33054941314e+003,-1.01353022638e+002
+1.35451227700e+003,-1.01377590799e+002
+1.37890670608e+003,-1.03758444350e+002
+1.40374047276e+003,-1.05504918052e+002
+1.42902148939e+003,-1.03328342489e+002
+1.45475781085e+003,-1.02735922038e+002
+1.48095763705e+003,-1.03263494318e+002
+1.50762931560e+003,-1.04452079311e+002
+1.53478134445e+003,-1.04475344631e+002
+1.56242237458e+003,-1.07773037690e+002
+1.59056121278e+003,-1.08208975401e+002
+1.61920682446e+003,-1.04547422580e+002
+1.64836833648e+003,-1.01579851761e+002
+1.67805504007e+003,-1.00167931356e+002
+1.70827639381e+003,-9.94932998316e+001
+1.73904202661e+003,-1.01979495290e+002
+1.77036174080e+003,-1.03810408473e+002
+1.80224551525e+003,-1.03788607423e+002
+1.83470350855e+003,-1.01756510633e+002
+1.86774606222e+003,-1.01610617569e+002
+1.90138370407e+003,-1.04272728138e+002
+1.93562715148e+003,-1.03469354698e+002
+1.97048731486e+003,-1.02656332422e+002
+2.00597530110e+003,-1.00421778698e+002
+2.04210241715e+003,-1.01135183821e+002
+2.07888017356e+003,-1.03080452287e+002
+2.11632028822e+003,-1.03992798051e+002
+2.15443469003e+003,-1.02503656886e+002
+2.19323552273e+003,-1.01220459438e+002
+2.23273514878e+003,-1.01931326609e+002
+2.27294615326e+003,-1.05594334265e+002
